Time [ns]	Counts
-1995	1
-1985	3
-1975	0
-1965	1
-1955	1
-1945	2
-1935	2
-1925	1
-1915	3
-1905	1
-1895	0
-1885	1
-1875	1
-1865	2
-1855	0
-1845	0
-1835	1
-1825	2
-1815	2
-1805	2
-1795	1
-1785	0
-1775	1
-1765	4
-1755	3
-1745	1
-1735	3
-1725	1
-1715	1
-1705	0
-1695	1
-1685	0
-1675	1
-1665	0
-1655	1
-1645	3
-1635	1
-1625	1
-1615	0
-1605	2
-1595	0
-1585	2
-1575	1
-1565	0
-1555	1
-1545	1
-1535	0
-1525	1
-1515	1
-1505	2
-1495	0
-1485	1
-1475	2
-1465	0
-1455	1
-1445	1
-1435	0
-1425	1
-1415	0
-1405	1
-1395	0
-1385	1
-1375	1
-1365	3
-1355	1
-1345	0
-1335	0
-1325	3
-1315	0
-1305	0
-1295	1
-1285	1
-1275	0
-1265	3
-1255	0
-1245	1
-1235	0
-1225	2
-1215	0
-1205	0
-1195	2
-1185	0
-1175	3
-1165	1
-1155	1
-1145	0
-1135	1
-1125	1
-1115	0
-1105	1
-1095	1
-1085	1
-1075	0
-1065	1
-1055	4
-1045	1
-1035	1
-1025	2
-1015	2
-1005	3
-995	2
-985	1
-975	1
-965	0
-955	1
-945	1
-935	2
-925	0
-915	1
-905	0
-895	1
-885	0
-875	1
-865	3
-855	0
-845	3
-835	0
-825	1
-815	4
-805	0
-795	2
-785	0
-775	1
-765	2
-755	1
-745	0
-735	1
-725	1
-715	2
-705	1
-695	2
-685	1
-675	1
-665	1
-655	0
-645	2
-635	4
-625	2
-615	1
-605	2
-595	1
-585	1
-575	1
-565	0
-555	2
-545	0
-535	0
-525	0
-515	2
-505	1
-495	0
-485	2
-475	0
-465	0
-455	0
-445	1
-435	1
-425	1
-415	1
-405	2
-395	1
-385	0
-375	2
-365	1
-355	1
-345	1
-335	2
-325	1
-315	2
-305	0
-295	2
-285	1
-275	1
-265	2
-255	0
-245	0
-235	0
-225	1
-215	0
-205	0
-195	1
-185	1
-175	2
-165	1
-155	2
-145	2
-135	3
-125	1
-115	1
-105	2
-95	0
-85	2
-75	2
-65	2
-55	0
-45	0
-35	0
-25	2
-15	2
-5	3
5	2
15	23
25	266
35	25
45	1
55	2
65	1
75	1
85	0
95	0
105	3
115	0
125	3
135	2
145	0
155	1
165	3
175	0
185	0
195	2
205	0
215	2
225	2
235	2
245	2
255	1
265	5
275	2
285	0
295	2
305	3
315	1
325	3
335	2
345	2
355	1
365	3
375	0
385	2
395	1
405	0
415	1
425	0
435	0
445	1
455	2
465	0
475	2
485	1
495	0
505	1
515	0
525	2
535	1
545	0
555	0
565	1
575	1
585	0
595	0
605	1
615	2
625	0
635	1
645	0
655	3
665	2
675	1
685	0
695	0
705	0
715	3
725	2
735	1
745	1
755	0
765	2
775	1
785	0
795	0
805	1
815	3
825	3
835	1
845	1
855	1
865	3
875	0
885	0
895	1
905	2
915	0
925	0
935	0
945	1
955	1
965	2
975	1
985	1
995	2
1005	0
1015	0
1025	1
1035	0
1045	1
1055	2
1065	2
1075	0
1085	2
1095	2
1105	0
1115	0
1125	1
1135	4
1145	0
1155	2
1165	0
1175	0
1185	2
1195	1
1205	0
1215	0
1225	0
1235	0
1245	2
1255	1
1265	1
1275	4
1285	2
1295	0
1305	1
1315	0
1325	2
1335	4
1345	1
1355	2
1365	1
1375	1
1385	0
1395	1
1405	0
1415	0
1425	0
1435	0
1445	0
1455	0
1465	1
1475	1
1485	2
1495	1
1505	0
1515	0
1525	0
1535	1
1545	1
1555	3
1565	4
1575	2
1585	2
1595	1
1605	0
1615	3
1625	1
1635	0
1645	2
1655	1
1665	0
1675	0
1685	1
1695	1
1705	1
1715	0
1725	2
1735	1
1745	0
1755	0
1765	0
1775	3
1785	0
1795	1
1805	2
1815	3
1825	2
1835	2
1845	0
1855	0
1865	2
1875	0
1885	3
1895	1
1905	1
1915	1
1925	0
1935	1
1945	3
1955	1
1965	1
1975	1
1985	0
1995	2
