Time [seconds]	Counts
4.98812e+11	386
1.49644e+12	401
2.49406e+12	410
3.49168e+12	348
4.48931e+12	361
5.48693e+12	411
6.48456e+12	420
7.48218e+12	351
8.4798e+12	381
9.47743e+12	371
1.04751e+13	375
1.14727e+13	365
1.24703e+13	383
1.34679e+13	344
1.44655e+13	382
1.54632e+13	374
1.64608e+13	399
1.74584e+13	381
1.8456e+13	430
1.94537e+13	376
2.04513e+13	350
2.14489e+13	388
2.24465e+13	391
2.34442e+13	357
2.44418e+13	404
2.54394e+13	372
2.6437e+13	394
2.74347e+13	428
2.84323e+13	416
2.94299e+13	351
3.04275e+13	364
3.14252e+13	383
3.24228e+13	394
3.34204e+13	384
3.4418e+13	403
3.54157e+13	413
3.64133e+13	381
3.74109e+13	393
3.84085e+13	403
3.94062e+13	387
4.04038e+13	370
4.14014e+13	355
4.2399e+13	372
4.33966e+13	382
4.43943e+13	418
4.53919e+13	351
4.63895e+13	427
4.73871e+13	389
4.83848e+13	394
4.93824e+13	389
5.038e+13	389
5.13776e+13	395
5.23753e+13	385
5.33729e+13	359
5.43705e+13	344
5.53681e+13	405
5.63658e+13	403
5.73634e+13	375
5.8361e+13	359
5.93586e+13	388
6.03563e+13	406
6.13539e+13	407
6.23515e+13	376
6.33491e+13	402
6.43468e+13	346
6.53444e+13	342
6.6342e+13	394
6.73396e+13	380
6.83372e+13	420
6.93349e+13	388
7.03325e+13	382
7.13301e+13	363
7.23277e+13	393
7.33254e+13	364
7.4323e+13	440
7.53206e+13	428
7.63182e+13	392
7.73159e+13	388
7.83135e+13	359
7.93111e+13	394
8.03087e+13	373
8.13064e+13	362
8.2304e+13	415
8.33016e+13	386
8.42992e+13	409
8.52969e+13	398
8.62945e+13	354
8.72921e+13	344
8.82897e+13	417
8.92874e+13	395
9.0285e+13	377
9.12826e+13	385
9.22802e+13	379
9.32779e+13	404
9.42755e+13	394
9.52731e+13	349
9.62707e+13	396
9.72684e+13	406
9.8266e+13	397
9.92636e+13	395
1.00261e+14	399
1.01259e+14	364
1.02256e+14	374
1.03254e+14	388
1.04252e+14	425
1.05249e+14	395
1.06247e+14	351
1.07245e+14	396
1.08242e+14	381
1.0924e+14	412
1.10237e+14	374
1.11235e+14	348
1.12233e+14	381
1.1323e+14	369
1.14228e+14	388
1.15226e+14	384
1.16223e+14	381
1.17221e+14	373
1.18218e+14	384
1.19216e+14	394
1.20214e+14	379
1.21211e+14	386
1.22209e+14	370
1.23207e+14	373
1.24204e+14	369
1.25202e+14	403
1.26199e+14	385
1.27197e+14	393
1.28195e+14	361
1.29192e+14	393
1.3019e+14	352
1.31188e+14	351
1.32185e+14	403
1.33183e+14	380
1.3418e+14	360
1.35178e+14	371
1.36176e+14	373
1.37173e+14	394
1.38171e+14	390
1.39169e+14	408
1.40166e+14	396
1.41164e+14	371
1.42161e+14	376
1.43159e+14	415
1.44157e+14	413
1.45154e+14	390
1.46152e+14	372
1.4715e+14	373
1.48147e+14	377
1.49145e+14	374
1.50142e+14	386
1.5114e+14	374
1.52138e+14	369
1.53135e+14	378
1.54133e+14	373
1.55131e+14	390
1.56128e+14	407
1.57126e+14	368
1.58123e+14	378
1.59121e+14	427
1.60119e+14	437
1.61116e+14	385
1.62114e+14	395
1.63112e+14	401
1.64109e+14	388
1.65107e+14	391
1.66104e+14	389
1.67102e+14	390
1.681e+14	366
1.69097e+14	413
1.70095e+14	393
1.71093e+14	326
1.7209e+14	390
1.73088e+14	395
1.74085e+14	363
1.75083e+14	355
1.76081e+14	339
1.77078e+14	392
1.78076e+14	372
1.79074e+14	402
1.80071e+14	396
1.81069e+14	366
1.82066e+14	374
1.83064e+14	356
1.84062e+14	409
1.85059e+14	388
1.86057e+14	386
1.87055e+14	386
1.88052e+14	386
1.8905e+14	394
1.90047e+14	386
1.91045e+14	388
1.92043e+14	365
1.9304e+14	391
1.94038e+14	362
1.95036e+14	371
1.96033e+14	382
1.97031e+14	385
1.98028e+14	390
1.99026e+14	370
2.00024e+14	408
2.01021e+14	386
2.02019e+14	361
2.03017e+14	388
2.04014e+14	361
2.05012e+14	367
2.06009e+14	372
2.07007e+14	384
2.08005e+14	357
2.09002e+14	399
2.1e+14	396
2.10997e+14	405
2.11995e+14	379
2.12993e+14	379
2.1399e+14	383
2.14988e+14	393
2.15986e+14	423
2.16983e+14	387
2.17981e+14	406
2.18978e+14	389
2.19976e+14	389
2.20974e+14	388
2.21971e+14	397
2.22969e+14	381
2.23967e+14	343
2.24964e+14	393
2.25962e+14	403
2.26959e+14	403
2.27957e+14	402
2.28955e+14	413
2.29952e+14	361
2.3095e+14	415
2.31948e+14	393
2.32945e+14	374
2.33943e+14	360
2.3494e+14	405
2.35938e+14	378
2.36936e+14	342
2.37933e+14	369
2.38931e+14	367
2.39929e+14	374
2.40926e+14	380
2.41924e+14	367
2.42921e+14	370
2.43919e+14	391
2.44917e+14	442
2.45914e+14	387
2.46912e+14	370
2.4791e+14	420
2.48907e+14	398
2.49905e+14	380
2.50902e+14	368
2.519e+14	400
2.52898e+14	394
2.53895e+14	366
2.54893e+14	399
2.55891e+14	387
2.56888e+14	356
2.57886e+14	366
2.58883e+14	359
2.59881e+14	373
2.60879e+14	348
2.61876e+14	371
2.62874e+14	361
2.63872e+14	357
2.64869e+14	368
2.65867e+14	361
2.66864e+14	386
2.67862e+14	403
2.6886e+14	383
2.69857e+14	393
2.70855e+14	394
2.71853e+14	437
2.7285e+14	429
2.73848e+14	380
2.74845e+14	376
2.75843e+14	381
2.76841e+14	379
2.77838e+14	374
2.78836e+14	438
2.79834e+14	378
2.80831e+14	351
2.81829e+14	383
2.82826e+14	367
2.83824e+14	391
2.84822e+14	379
2.85819e+14	392
2.86817e+14	373
2.87815e+14	409
2.88812e+14	385
2.8981e+14	382
2.90807e+14	405
2.91805e+14	421
2.92803e+14	363
2.938e+14	366
2.94798e+14	406
2.95796e+14	365
2.96793e+14	388
2.97791e+14	390
2.98788e+14	381
2.99786e+14	394
3.00784e+14	365
3.01781e+14	417
3.02779e+14	376
3.03777e+14	404
3.04774e+14	400
3.05772e+14	358
3.06769e+14	385
3.07767e+14	381
3.08765e+14	356
3.09762e+14	390
3.1076e+14	386
3.11758e+14	373
3.12755e+14	405
3.13753e+14	376
3.1475e+14	383
3.15748e+14	400
3.16746e+14	376
3.17743e+14	367
3.18741e+14	398
3.19739e+14	400
3.20736e+14	394
3.21734e+14	396
3.22731e+14	413
3.23729e+14	391
3.24727e+14	401
3.25724e+14	369
3.26722e+14	425
3.2772e+14	392
3.28717e+14	381
3.29715e+14	408
3.30712e+14	385
3.3171e+14	392
3.32708e+14	389
3.33705e+14	394
3.34703e+14	396
3.35701e+14	428
3.36698e+14	364
3.37696e+14	417
3.38693e+14	408
3.39691e+14	393
3.40689e+14	429
