Time [ns]	Counts
-1995	0
-1985	1
-1975	0
-1965	0
-1955	0
-1945	1
-1935	0
-1925	0
-1915	0
-1905	0
-1895	0
-1885	0
-1875	0
-1865	0
-1855	0
-1845	0
-1835	2
-1825	1
-1815	0
-1805	0
-1795	0
-1785	1
-1775	1
-1765	1
-1755	1
-1745	0
-1735	1
-1725	0
-1715	0
-1705	0
-1695	1
-1685	0
-1675	0
-1665	0
-1655	0
-1645	0
-1635	1
-1625	0
-1615	1
-1605	1
-1595	0
-1585	1
-1575	0
-1565	2
-1555	0
-1545	0
-1535	0
-1525	2
-1515	0
-1505	0
-1495	1
-1485	1
-1475	0
-1465	0
-1455	1
-1445	0
-1435	0
-1425	0
-1415	0
-1405	1
-1395	1
-1385	0
-1375	0
-1365	2
-1355	0
-1345	2
-1335	0
-1325	0
-1315	0
-1305	0
-1295	1
-1285	0
-1275	0
-1265	1
-1255	0
-1245	0
-1235	0
-1225	0
-1215	0
-1205	1
-1195	2
-1185	0
-1175	1
-1165	1
-1155	2
-1145	1
-1135	0
-1125	0
-1115	0
-1105	1
-1095	0
-1085	2
-1075	1
-1065	0
-1055	0
-1045	0
-1035	2
-1025	1
-1015	2
-1005	0
-995	1
-985	0
-975	1
-965	0
-955	0
-945	0
-935	0
-925	3
-915	2
-905	0
-895	0
-885	0
-875	2
-865	1
-855	1
-845	0
-835	0
-825	1
-815	1
-805	1
-795	2
-785	0
-775	0
-765	0
-755	1
-745	0
-735	0
-725	0
-715	0
-705	0
-695	0
-685	0
-675	0
-665	2
-655	1
-645	0
-635	0
-625	1
-615	2
-605	1
-595	2
-585	0
-575	0
-565	1
-555	2
-545	0
-535	0
-525	0
-515	1
-505	0
-495	0
-485	1
-475	0
-465	1
-455	1
-445	0
-435	0
-425	0
-415	0
-405	0
-395	0
-385	1
-375	1
-365	1
-355	0
-345	0
-335	0
-325	0
-315	0
-305	1
-295	0
-285	2
-275	2
-265	0
-255	0
-245	2
-235	0
-225	1
-215	0
-205	0
-195	0
-185	0
-175	0
-165	0
-155	1
-145	0
-135	1
-125	4
-115	0
-105	0
-95	1
-85	0
-75	0
-65	1
-55	1
-45	1
-35	0
-25	0
-15	2
-5	1
5	2
15	112
25	1361
35	98
45	4
55	1
65	1
75	1
85	1
95	1
105	2
115	0
125	0
135	0
145	0
155	0
165	1
175	1
185	0
195	0
205	1
215	3
225	0
235	1
245	0
255	1
265	1
275	0
285	0
295	0
305	1
315	0
325	0
335	0
345	0
355	0
365	1
375	0
385	1
395	0
405	2
415	0
425	0
435	0
445	0
455	1
465	0
475	0
485	0
495	0
505	0
515	0
525	0
535	0
545	0
555	0
565	0
575	1
585	1
595	0
605	0
615	0
625	1
635	1
645	0
655	1
665	0
675	0
685	1
695	1
705	0
715	0
725	0
735	2
745	0
755	1
765	2
775	1
785	0
795	1
805	2
815	0
825	1
835	0
845	0
855	0
865	1
875	1
885	2
895	2
905	0
915	0
925	1
935	0
945	0
955	1
965	0
975	0
985	0
995	0
1005	0
1015	0
1025	1
1035	0
1045	2
1055	0
1065	0
1075	0
1085	0
1095	0
1105	0
1115	1
1125	0
1135	1
1145	0
1155	0
1165	1
1175	0
1185	0
1195	0
1205	1
1215	2
1225	0
1235	2
1245	1
1255	1
1265	1
1275	0
1285	1
1295	0
1305	1
1315	0
1325	0
1335	0
1345	0
1355	1
1365	1
1375	0
1385	1
1395	0
1405	0
1415	0
1425	0
1435	2
1445	0
1455	0
1465	0
1475	0
1485	0
1495	0
1505	0
1515	3
1525	0
1535	0
1545	0
1555	1
1565	0
1575	0
1585	0
1595	1
1605	1
1615	0
1625	1
1635	1
1645	0
1655	1
1665	0
1675	0
1685	0
1695	0
1705	1
1715	2
1725	3
1735	1
1745	0
1755	0
1765	0
1775	1
1785	1
1795	0
1805	0
1815	1
1825	0
1835	0
1845	0
1855	2
1865	0
1875	1
1885	0
1895	1
1905	0
1915	1
1925	0
1935	0
1945	0
1955	1
1965	0
1975	1
1985	1
1995	0
