Time [seconds]	Counts
4.99303e+11	277
1.49791e+12	255
2.49651e+12	276
3.49512e+12	271
4.49372e+12	284
5.49233e+12	276
6.49093e+12	287
7.48954e+12	282
8.48815e+12	297
9.48675e+12	286
1.04854e+13	305
1.1484e+13	250
1.24826e+13	302
1.34812e+13	273
1.44798e+13	274
1.54784e+13	278
1.6477e+13	277
1.74756e+13	293
1.84742e+13	292
1.94728e+13	281
2.04714e+13	280
2.147e+13	306
2.24686e+13	301
2.34672e+13	300
2.44658e+13	277
2.54644e+13	310
2.6463e+13	258
2.74616e+13	297
2.84603e+13	307
2.94589e+13	271
3.04575e+13	273
3.14561e+13	308
3.24547e+13	276
3.34533e+13	280
3.44519e+13	276
3.54505e+13	290
3.64491e+13	308
3.74477e+13	289
3.84463e+13	311
3.94449e+13	298
4.04435e+13	274
4.14421e+13	288
4.24407e+13	295
4.34393e+13	283
4.44379e+13	291
4.54365e+13	281
4.64351e+13	289
4.74337e+13	297
4.84324e+13	292
4.9431e+13	302
5.04296e+13	303
5.14282e+13	281
5.24268e+13	280
5.34254e+13	285
5.4424e+13	285
5.54226e+13	275
5.64212e+13	250
5.74198e+13	306
5.84184e+13	284
5.9417e+13	270
6.04156e+13	247
6.14142e+13	276
6.24128e+13	284
6.34114e+13	282
6.441e+13	298
6.54086e+13	274
6.64072e+13	283
6.74059e+13	270
6.84045e+13	288
6.94031e+13	306
7.04017e+13	310
7.14003e+13	292
7.23989e+13	292
7.33975e+13	249
7.43961e+13	319
7.53947e+13	263
7.63933e+13	271
7.73919e+13	279
7.83905e+13	271
7.93891e+13	278
8.03877e+13	277
8.13863e+13	270
8.23849e+13	274
8.33835e+13	267
8.43821e+13	295
8.53808e+13	290
8.63794e+13	300
8.7378e+13	282
8.83766e+13	270
8.93752e+13	303
9.03738e+13	292
9.13724e+13	296
9.2371e+13	286
9.33696e+13	299
9.43682e+13	266
9.53668e+13	247
9.63654e+13	274
9.7364e+13	304
9.83626e+13	298
9.93612e+13	298
1.0036e+14	294
1.01358e+14	307
1.02357e+14	293
1.03356e+14	285
1.04354e+14	276
1.05353e+14	265
1.06351e+14	282
1.0735e+14	254
1.08349e+14	288
1.09347e+14	294
1.10346e+14	276
1.11344e+14	280
1.12343e+14	283
1.13342e+14	258
1.1434e+14	275
1.15339e+14	281
1.16338e+14	290
1.17336e+14	272
1.18335e+14	282
1.19333e+14	267
1.20332e+14	291
1.21331e+14	278
1.22329e+14	286
1.23328e+14	293
1.24326e+14	289
1.25325e+14	284
1.26324e+14	297
1.27322e+14	281
1.28321e+14	279
1.29319e+14	276
1.30318e+14	284
1.31317e+14	289
1.32315e+14	262
1.33314e+14	239
1.34312e+14	308
1.35311e+14	278
1.3631e+14	302
1.37308e+14	280
1.38307e+14	300
1.39305e+14	295
1.40304e+14	311
1.41303e+14	255
1.42301e+14	281
1.433e+14	272
1.44298e+14	260
1.45297e+14	262
1.46296e+14	254
1.47294e+14	289
1.48293e+14	288
1.49291e+14	285
1.5029e+14	290
1.51289e+14	304
1.52287e+14	315
1.53286e+14	292
1.54285e+14	284
1.55283e+14	287
1.56282e+14	288
1.5728e+14	295
1.58279e+14	258
1.59278e+14	297
1.60276e+14	302
1.61275e+14	301
1.62273e+14	270
1.63272e+14	296
1.64271e+14	272
1.65269e+14	295
1.66268e+14	272
1.67266e+14	280
1.68265e+14	295
1.69264e+14	268
1.70262e+14	287
1.71261e+14	337
1.72259e+14	273
1.73258e+14	289
1.74257e+14	296
1.75255e+14	298
1.76254e+14	317
1.77252e+14	289
1.78251e+14	285
1.7925e+14	271
1.80248e+14	286
1.81247e+14	269
1.82245e+14	293
1.83244e+14	286
1.84243e+14	277
1.85241e+14	288
1.8624e+14	306
1.87238e+14	263
1.88237e+14	291
1.89236e+14	266
1.90234e+14	296
1.91233e+14	268
1.92232e+14	262
1.9323e+14	301
1.94229e+14	275
1.95227e+14	323
1.96226e+14	272
1.97225e+14	304
1.98223e+14	298
1.99222e+14	274
2.0022e+14	320
2.01219e+14	292
2.02218e+14	299
2.03216e+14	282
2.04215e+14	283
2.05213e+14	292
2.06212e+14	298
2.07211e+14	300
2.08209e+14	270
2.09208e+14	289
2.10206e+14	283
2.11205e+14	267
2.12204e+14	295
2.13202e+14	284
2.14201e+14	255
2.15199e+14	298
2.16198e+14	305
2.17197e+14	289
2.18195e+14	274
2.19194e+14	270
2.20192e+14	288
2.21191e+14	328
2.2219e+14	262
2.23188e+14	283
2.24187e+14	306
2.25185e+14	290
2.26184e+14	305
2.27183e+14	284
2.28181e+14	277
2.2918e+14	276
2.30179e+14	286
2.31177e+14	277
2.32176e+14	281
2.33174e+14	293
2.34173e+14	266
2.35172e+14	294
2.3617e+14	282
2.37169e+14	278
2.38167e+14	305
2.39166e+14	304
2.40165e+14	290
2.41163e+14	270
2.42162e+14	269
2.4316e+14	286
2.44159e+14	301
2.45158e+14	294
2.46156e+14	301
2.47155e+14	276
2.48153e+14	282
2.49152e+14	255
