Time [ns]	Counts
-1995	4
-1985	8
-1975	4
-1965	3
-1955	4
-1945	1
-1935	5
-1925	3
-1915	4
-1905	7
-1895	2
-1885	0
-1875	1
-1865	2
-1855	0
-1845	9
-1835	5
-1825	6
-1815	3
-1805	2
-1795	2
-1785	2
-1775	9
-1765	7
-1755	2
-1745	3
-1735	4
-1725	3
-1715	4
-1705	2
-1695	5
-1685	3
-1675	0
-1665	4
-1655	2
-1645	4
-1635	3
-1625	4
-1615	2
-1605	4
-1595	3
-1585	3
-1575	5
-1565	1
-1555	2
-1545	2
-1535	4
-1525	5
-1515	3
-1505	3
-1495	3
-1485	2
-1475	5
-1465	4
-1455	2
-1445	1
-1435	3
-1425	3
-1415	2
-1405	3
-1395	7
-1385	3
-1375	3
-1365	3
-1355	3
-1345	4
-1335	2
-1325	2
-1315	1
-1305	1
-1295	3
-1285	2
-1275	3
-1265	0
-1255	3
-1245	5
-1235	2
-1225	3
-1215	3
-1205	2
-1195	4
-1185	2
-1175	5
-1165	5
-1155	1
-1145	1
-1135	3
-1125	4
-1115	1
-1105	2
-1095	9
-1085	3
-1075	3
-1065	1
-1055	0
-1045	3
-1035	5
-1025	1
-1015	1
-1005	4
-995	4
-985	2
-975	6
-965	6
-955	4
-945	3
-935	3
-925	6
-915	3
-905	6
-895	2
-885	6
-875	7
-865	5
-855	0
-845	2
-835	2
-825	2
-815	5
-805	2
-795	5
-785	2
-775	2
-765	6
-755	3
-745	4
-735	1
-725	1
-715	2
-705	2
-695	1
-685	2
-675	3
-665	4
-655	6
-645	3
-635	0
-625	2
-615	2
-605	0
-595	3
-585	2
-575	5
-565	4
-555	5
-545	3
-535	3
-525	3
-515	2
-505	3
-495	5
-485	2
-475	4
-465	3
-455	0
-445	1
-435	2
-425	2
-415	3
-405	2
-395	5
-385	6
-375	6
-365	6
-355	4
-345	5
-335	3
-325	2
-315	1
-305	1
-295	7
-285	2
-275	4
-265	4
-255	3
-245	0
-235	3
-225	8
-215	5
-205	4
-195	4
-185	0
-175	1
-165	4
-155	0
-145	2
-135	5
-125	2
-115	8
-105	8
-95	7
-85	2
-75	8
-65	1
-55	0
-45	2
-35	4
-25	7
-15	6
-5	8
5	16
15	914
25	6355
35	880
45	21
55	8
65	6
75	5
85	4
95	2
105	4
115	4
125	4
135	5
145	6
155	2
165	4
175	3
185	12
195	3
205	1
215	4
225	4
235	2
245	7
255	4
265	5
275	1
285	2
295	1
305	1
315	4
325	2
335	4
345	6
355	2
365	9
375	2
385	1
395	5
405	2
415	3
425	5
435	4
445	5
455	3
465	5
475	4
485	1
495	4
505	3
515	4
525	3
535	4
545	4
555	1
565	4
575	3
585	2
595	4
605	3
615	4
625	2
635	4
645	3
655	4
665	3
675	5
685	2
695	4
705	0
715	2
725	3
735	3
745	4
755	2
765	4
775	2
785	1
795	3
805	3
815	1
825	0
835	1
845	3
855	5
865	3
875	4
885	1
895	2
905	2
915	6
925	1
935	0
945	3
955	5
965	2
975	3
985	7
995	4
1005	2
1015	3
1025	4
1035	2
1045	2
1055	1
1065	4
1075	2
1085	1
1095	4
1105	0
1115	5
1125	5
1135	2
1145	2
1155	2
1165	1
1175	4
1185	3
1195	4
1205	4
1215	6
1225	2
1235	2
1245	1
1255	3
1265	6
1275	1
1285	5
1295	3
1305	4
1315	1
1325	4
1335	2
1345	2
1355	2
1365	4
1375	5
1385	4
1395	4
1405	4
1415	3
1425	4
1435	4
1445	3
1455	1
1465	6
1475	2
1485	5
1495	3
1505	5
1515	4
1525	2
1535	4
1545	4
1555	2
1565	2
1575	1
1585	1
1595	3
1605	2
1615	5
1625	2
1635	7
1645	6
1655	2
1665	2
1675	3
1685	2
1695	2
1705	3
1715	7
1725	4
1735	1
1745	3
1755	0
1765	1
1775	2
1785	6
1795	8
1805	1
1815	5
1825	5
1835	4
1845	2
1855	4
1865	3
1875	1
1885	4
1895	4
1905	6
1915	2
1925	7
1935	2
1945	3
1955	6
1965	2
1975	2
1985	4
1995	2
