Time [seconds]	Counts
4.993e+11	492
1.4979e+12	487
2.4965e+12	481
3.4951e+12	496
4.4937e+12	489
5.4923e+12	494
6.4909e+12	499
7.4895e+12	447
8.48811e+12	445
9.48671e+12	486
1.04853e+13	447
1.14839e+13	440
1.24825e+13	497
1.34811e+13	462
1.44797e+13	482
1.54783e+13	535
1.64769e+13	483
1.74755e+13	471
1.84741e+13	473
1.94727e+13	451
2.04713e+13	469
2.14699e+13	494
2.24685e+13	465
2.34671e+13	486
2.44657e+13	466
2.54643e+13	514
2.64629e+13	490
2.74615e+13	473
2.84601e+13	488
2.94587e+13	467
3.04573e+13	459
3.14559e+13	425
3.24545e+13	466
3.34531e+13	481
3.44517e+13	489
3.54503e+13	462
3.64489e+13	486
3.74475e+13	490
3.84461e+13	487
3.94447e+13	450
4.04433e+13	474
4.14419e+13	496
4.24405e+13	449
4.34391e+13	490
4.44377e+13	502
4.54363e+13	465
4.64349e+13	511
4.74335e+13	477
4.84321e+13	534
4.94307e+13	488
5.04293e+13	464
5.14279e+13	458
5.24265e+13	480
5.34251e+13	480
5.44237e+13	500
5.54223e+13	507
5.64209e+13	518
5.74195e+13	483
5.84181e+13	474
5.94167e+13	488
6.04153e+13	520
6.14139e+13	492
6.24125e+13	495
6.34111e+13	453
6.44097e+13	511
6.54083e+13	459
6.64069e+13	471
6.74055e+13	487
6.84041e+13	459
6.94027e+13	510
7.04013e+13	494
7.13999e+13	503
7.23985e+13	464
7.33971e+13	479
7.43957e+13	455
7.53944e+13	496
7.63929e+13	453
7.73916e+13	460
7.83901e+13	479
7.93888e+13	497
8.03874e+13	464
8.1386e+13	483
8.23846e+13	480
8.33832e+13	497
8.43818e+13	475
8.53804e+13	519
8.6379e+13	485
8.73776e+13	505
8.83762e+13	513
8.93748e+13	478
9.03734e+13	461
9.1372e+13	481
9.23706e+13	474
9.33692e+13	488
9.43678e+13	455
9.53664e+13	478
9.6365e+13	482
9.73636e+13	461
9.83622e+13	448
9.93608e+13	452
1.00359e+14	461
1.01358e+14	468
1.02357e+14	527
1.03355e+14	456
1.04354e+14	464
1.05352e+14	478
1.06351e+14	496
1.0735e+14	503
1.08348e+14	457
1.09347e+14	448
1.10345e+14	467
1.11344e+14	485
1.12343e+14	475
1.13341e+14	450
1.1434e+14	446
1.15338e+14	469
1.16337e+14	473
1.17336e+14	480
1.18334e+14	501
1.19333e+14	525
1.20331e+14	447
1.2133e+14	461
1.22329e+14	446
1.23327e+14	517
1.24326e+14	480
1.25324e+14	476
1.26323e+14	446
1.27322e+14	466
1.2832e+14	477
1.29319e+14	466
1.30317e+14	439
1.31316e+14	494
1.32315e+14	502
1.33313e+14	472
1.34312e+14	484
1.3531e+14	471
1.36309e+14	490
1.37308e+14	519
1.38306e+14	486
1.39305e+14	426
1.40303e+14	437
1.41302e+14	486
1.42301e+14	510
1.43299e+14	494
1.44298e+14	463
1.45296e+14	443
1.46295e+14	469
1.47294e+14	473
1.48292e+14	472
1.49291e+14	456
1.50289e+14	475
1.51288e+14	471
1.52287e+14	495
1.53285e+14	505
1.54284e+14	456
1.55282e+14	470
1.56281e+14	464
1.5728e+14	472
1.58278e+14	432
1.59277e+14	438
1.60275e+14	481
1.61274e+14	494
1.62273e+14	422
1.63271e+14	457
1.6427e+14	465
1.65268e+14	488
1.66267e+14	521
1.67266e+14	480
1.68264e+14	473
1.69263e+14	492
1.70261e+14	444
1.7126e+14	480
1.72259e+14	496
1.73257e+14	443
1.74256e+14	484
1.75254e+14	465
1.76253e+14	451
1.77252e+14	474
1.7825e+14	481
1.79249e+14	451
1.80247e+14	498
1.81246e+14	459
1.82245e+14	435
1.83243e+14	470
1.84242e+14	451
1.8524e+14	487
1.86239e+14	465
1.87238e+14	458
1.88236e+14	464
1.89235e+14	470
1.90233e+14	488
1.91232e+14	475
1.92231e+14	474
1.93229e+14	462
1.94228e+14	491
1.95226e+14	503
1.96225e+14	476
1.97224e+14	517
1.98222e+14	493
1.99221e+14	480
2.00219e+14	492
2.01218e+14	500
2.02217e+14	492
2.03215e+14	489
2.04214e+14	463
2.05212e+14	479
2.06211e+14	529
2.0721e+14	517
2.08208e+14	474
2.09207e+14	455
2.10205e+14	478
2.11204e+14	464
2.12203e+14	526
2.13201e+14	469
2.142e+14	508
2.15198e+14	507
2.16197e+14	507
2.17196e+14	484
2.18194e+14	443
2.19193e+14	475
2.20191e+14	463
2.2119e+14	471
2.22189e+14	478
2.23187e+14	474
2.24186e+14	449
2.25184e+14	494
2.26183e+14	467
2.27182e+14	503
2.2818e+14	510
2.29179e+14	509
2.30177e+14	484
2.31176e+14	496
2.32175e+14	494
2.33173e+14	509
2.34172e+14	419
2.3517e+14	487
2.36169e+14	467
2.37168e+14	441
2.38166e+14	469
2.39165e+14	450
2.40163e+14	481
2.41162e+14	458
2.42161e+14	471
2.43159e+14	469
2.44158e+14	472
2.45156e+14	444
2.46155e+14	452
2.47154e+14	482
2.48152e+14	449
2.49151e+14	519
2.50149e+14	472
2.51148e+14	465
2.52147e+14	499
2.53145e+14	503
2.54144e+14	490
2.55142e+14	469
2.56141e+14	489
2.5714e+14	444
2.58138e+14	474
2.59137e+14	483
2.60135e+14	455
2.61134e+14	457
2.62133e+14	455
2.63131e+14	461
2.6413e+14	491
2.65128e+14	468
2.66127e+14	489
2.67126e+14	464
2.68124e+14	465
2.69123e+14	501
2.70121e+14	478
2.7112e+14	508
2.72119e+14	477
2.73117e+14	451
2.74116e+14	502
2.75114e+14	518
2.76113e+14	490
2.77112e+14	444
2.7811e+14	461
2.79109e+14	482
2.80107e+14	466
2.81106e+14	477
2.82105e+14	470
2.83103e+14	444
2.84102e+14	482
2.851e+14	460
2.86099e+14	485
2.87098e+14	500
2.88096e+14	506
2.89095e+14	481
2.90093e+14	439
2.91092e+14	484
2.92091e+14	473
2.93089e+14	473
2.94088e+14	468
2.95086e+14	462
2.96085e+14	481
2.97084e+14	485
2.98082e+14	445
2.99081e+14	512
3.00079e+14	508
3.01078e+14	491
3.02077e+14	462
3.03075e+14	485
3.04074e+14	483
3.05073e+14	471
3.06071e+14	457
3.0707e+14	445
3.08068e+14	486
3.09067e+14	462
3.10066e+14	489
3.11064e+14	473
3.12063e+14	486
3.13061e+14	475
3.1406e+14	481
3.15059e+14	480
3.16057e+14	479
3.17056e+14	503
3.18054e+14	497
3.19053e+14	496
3.20052e+14	459
3.2105e+14	497
3.22049e+14	483
3.23047e+14	462
3.24046e+14	428
3.25045e+14	481
3.26043e+14	477
3.27042e+14	447
3.2804e+14	477
3.29039e+14	483
3.30038e+14	483
3.31036e+14	428
3.32035e+14	507
3.33033e+14	427
3.34032e+14	489
3.35031e+14	431
3.36029e+14	495
3.37028e+14	493
3.38026e+14	504
3.39025e+14	483
3.40024e+14	456
3.41022e+14	477
3.42021e+14	440
3.43019e+14	462
3.44018e+14	455
3.45017e+14	489
3.46015e+14	483
3.47014e+14	469
3.48012e+14	486
3.49011e+14	510
3.5001e+14	482
3.51008e+14	465
3.52007e+14	460
3.53005e+14	479
3.54004e+14	481
3.55003e+14	449
3.56001e+14	461
3.57e+14	492
3.57998e+14	479
3.58997e+14	453
3.59996e+14	496
3.60994e+14	472
3.61993e+14	479
3.62991e+14	481
3.6399e+14	481
3.64989e+14	451
3.65987e+14	462
3.66986e+14	484
3.67984e+14	517
3.68983e+14	490
3.69982e+14	513
3.7098e+14	490
3.71979e+14	437
3.72977e+14	491
3.73976e+14	516
3.74975e+14	462
3.75973e+14	472
3.76972e+14	491
3.7797e+14	497
3.78969e+14	483
3.79968e+14	504
3.80966e+14	422
3.81965e+14	521
3.82963e+14	471
3.83962e+14	454
3.84961e+14	494
3.85959e+14	478
3.86958e+14	492
3.87956e+14	482
3.88955e+14	493
3.89954e+14	476
3.90952e+14	487
3.91951e+14	454
3.92949e+14	443
3.93948e+14	474
3.94947e+14	484
3.95945e+14	491
3.96944e+14	496
3.97942e+14	457
3.98941e+14	511
3.9994e+14	501
4.00938e+14	463
4.01937e+14	446
4.02935e+14	452
4.03934e+14	461
4.04933e+14	490
4.05931e+14	430
4.0693e+14	499
4.07928e+14	481
4.08927e+14	478
4.09926e+14	453
4.10924e+14	478
4.11923e+14	464
4.12921e+14	454
4.1392e+14	495
4.14919e+14	496
4.15917e+14	461
4.16916e+14	507
4.17914e+14	503
4.18913e+14	449
4.19912e+14	483
4.2091e+14	479
4.21909e+14	430
4.22907e+14	472
4.23906e+14	503
4.24905e+14	489
4.25903e+14	449
4.26902e+14	470
4.279e+14	472
4.28899e+14	503
4.29898e+14	500
4.30896e+14	466
4.31895e+14	476
4.32893e+14	465
4.33892e+14	453
4.34891e+14	449
4.35889e+14	510
4.36888e+14	493
4.37886e+14	508
4.38885e+14	491
4.39884e+14	507
4.40882e+14	468
4.41881e+14	493
4.42879e+14	459
4.43878e+14	457
4.44877e+14	490
4.45875e+14	443
4.46874e+14	473
4.47872e+14	491
4.48871e+14	442
4.4987e+14	519
4.50868e+14	473
4.51867e+14	469
4.52865e+14	460
4.53864e+14	433
4.54863e+14	476
4.55861e+14	460
4.5686e+14	465
4.57858e+14	478
4.58857e+14	515
4.59856e+14	469
4.60854e+14	471
4.61853e+14	482
4.62851e+14	471
4.6385e+14	452
4.64849e+14	449
4.65847e+14	432
4.66846e+14	473
4.67844e+14	449
4.68843e+14	504
4.69842e+14	447
4.7084e+14	462
4.71839e+14	470
4.72837e+14	439
4.73836e+14	478
4.74835e+14	471
4.75833e+14	492
4.76832e+14	476
4.7783e+14	473
4.78829e+14	484
4.79828e+14	482
4.80826e+14	471
4.81825e+14	477
4.82823e+14	533
4.83822e+14	485
4.84821e+14	472
4.85819e+14	448
4.86818e+14	472
4.87816e+14	495
4.88815e+14	461
4.89814e+14	485
4.90812e+14	509
4.91811e+14	491
4.92809e+14	466
4.93808e+14	483
4.94807e+14	434
4.95805e+14	467
4.96804e+14	490
4.97802e+14	446
4.98801e+14	494
4.998e+14	464
5.00798e+14	434
5.01797e+14	521
5.02795e+14	484
5.03794e+14	485
5.04793e+14	465
5.05791e+14	480
5.0679e+14	493
5.07788e+14	486
5.08787e+14	455
5.09786e+14	460
