Channel	Counts
0.499969	30
1.49991	0
2.49985	0
3.49979	0
4.49973	0
5.49966	1
6.4996	0
7.49954	1
8.49948	0
9.49942	0
10.4994	0
11.4993	0
12.4992	0
13.4992	0
14.4991	0
15.4991	0
16.499	0
17.4989	0
18.4989	0
19.4988	0
20.4987	0
21.4987	0
22.4986	0
23.4986	0
24.4985	0
25.4984	0
26.4984	0
27.4983	0
28.4983	0
29.4982	1
30.4981	0
31.4981	0
32.498	0
33.498	0
34.4979	0
35.4978	0
36.4978	0
37.4977	0
38.4977	0
39.4976	0
40.4975	0
41.4975	0
42.4974	0
43.4973	1
44.4973	0
45.4972	0
46.4972	0
47.4971	0
48.497	0
49.497	0
50.4969	0
51.4969	0
52.4968	0
53.4967	0
54.4967	0
55.4966	0
56.4966	0
57.4965	0
58.4964	0
59.4964	0
60.4963	0
61.4962	0
62.4962	0
63.4961	0
64.4961	0
65.496	0
66.4959	0
67.4959	0
68.4958	0
69.4958	0
70.4957	0
71.4956	0
72.4956	0
73.4955	0
74.4955	0
75.4954	0
76.4953	0
77.4953	0
78.4952	0
79.4951	0
80.4951	0
81.495	0
82.495	0
83.4949	0
84.4948	0
85.4948	1
86.4947	0
87.4947	0
88.4946	0
89.4945	0
90.4945	0
91.4944	0
92.4944	1
93.4943	0
94.4942	0
95.4942	0
96.4941	0
97.494	0
98.494	0
99.4939	1
100.494	0
101.494	0
102.494	1
103.494	1
104.494	0
105.494	0
106.493	0
107.493	0
108.493	0
109.493	0
110.493	0
111.493	2
112.493	0
113.493	0
114.493	1
115.493	0
116.493	0
117.493	0
118.493	0
119.493	1
120.493	0
121.493	0
122.493	0
123.492	0
124.492	2
125.492	1
126.492	0
127.492	0
128.492	0
129.492	0
130.492	1
131.492	0
132.492	0
133.492	0
134.492	1
135.492	0
136.492	1
137.492	6
138.492	3
139.491	2
140.491	4
141.491	4
142.491	1
143.491	2
144.491	3
145.491	1
146.491	3
147.491	5
148.491	7
149.491	2
150.491	6
151.491	9
152.491	7
153.491	7
154.491	8
155.491	8
156.49	12
157.49	9
158.49	8
159.49	15
160.49	10
161.49	4
162.49	11
163.49	16
164.49	11
165.49	10
166.49	12
167.49	17
168.49	14
169.49	18
170.49	18
171.49	15
172.489	19
173.489	23
174.489	19
175.489	20
176.489	16
177.489	19
178.489	19
179.489	28
180.489	22
181.489	28
182.489	23
183.489	23
184.489	21
185.489	18
186.489	25
187.489	28
188.488	29
189.488	18
190.488	23
191.488	25
192.488	23
193.488	25
194.488	28
195.488	23
196.488	23
197.488	17
198.488	21
199.488	22
200.488	34
201.488	28
202.488	31
203.488	28
204.488	27
205.487	20
206.487	31
207.487	29
208.487	25
209.487	23
210.487	26
211.487	32
212.487	32
213.487	28
214.487	31
215.487	37
216.487	31
217.487	28
218.487	34
219.487	31
220.487	30
221.486	40
222.486	37
223.486	34
224.486	27
225.486	33
226.486	29
227.486	45
228.486	25
229.486	25
230.486	33
231.486	28
232.486	29
233.486	33
234.486	34
235.486	31
236.486	40
237.486	29
238.485	38
239.485	38
240.485	40
241.485	31
242.485	35
243.485	35
244.485	37
245.485	39
246.485	38
247.485	38
248.485	34
249.485	37
250.485	35
251.485	37
252.485	44
253.485	29
254.484	55
255.484	50
256.484	39
257.484	51
258.484	46
259.484	41
260.484	39
261.484	35
262.484	31
263.484	41
264.484	43
265.484	40
266.484	43
267.484	39
268.484	52
269.484	50
270.483	50
271.483	51
272.483	39
273.483	53
274.483	53
275.483	48
276.483	42
277.483	54
278.483	42
279.483	50
280.483	60
281.483	52
282.483	46
283.483	47
284.483	47
285.483	51
286.483	65
287.482	53
288.482	52
289.482	56
290.482	69
291.482	58
292.482	65
293.482	63
294.482	49
295.482	63
296.482	53
297.482	57
298.482	64
299.482	69
300.482	52
301.482	55
302.482	57
303.481	49
304.481	67
305.481	66
306.481	60
307.481	69
308.481	59
309.481	81
310.481	75
311.481	84
312.481	60
313.481	64
314.481	75
315.481	57
316.481	60
317.481	59
318.481	72
319.48	76
320.48	60
321.48	62
322.48	57
323.48	62
324.48	75
325.48	68
326.48	67
327.48	65
328.48	67
329.48	75
330.48	89
331.48	74
332.48	80
333.48	51
334.48	72
335.48	82
336.479	79
337.479	67
338.479	69
339.479	85
340.479	59
341.479	66
342.479	59
343.479	87
344.479	91
345.479	89
346.479	78
347.479	60
348.479	87
349.479	83
350.479	76
351.479	84
352.478	84
353.478	86
354.478	86
355.478	67
356.478	76
357.478	78
358.478	84
359.478	77
360.478	84
361.478	96
362.478	74
363.478	88
364.478	66
365.478	72
366.478	77
367.478	87
368.478	86
369.477	90
370.477	97
371.477	79
372.477	87
373.477	85
374.477	87
375.477	109
376.477	81
377.477	86
378.477	87
379.477	87
380.477	88
381.477	90
382.477	93
383.477	112
384.477	85
385.476	101
386.476	97
387.476	75
388.476	98
389.476	78
390.476	102
391.476	97
392.476	92
393.476	102
394.476	89
395.476	100
396.476	87
397.476	110
398.476	91
399.476	96
400.476	92
401.475	89
402.475	91
403.475	99
404.475	80
405.475	81
406.475	108
407.475	99
408.475	91
409.475	110
410.475	102
411.475	71
412.475	96
413.475	86
414.475	109
415.475	95
416.475	104
417.475	95
418.474	108
419.474	94
420.474	107
421.474	92
422.474	113
423.474	85
424.474	79
425.474	103
426.474	88
427.474	96
428.474	117
429.474	104
430.474	98
431.474	98
432.474	89
433.474	84
434.473	99
435.473	94
436.473	96
437.473	99
438.473	102
439.473	104
440.473	85
441.473	106
442.473	100
443.473	106
444.473	106
445.473	83
446.473	92
447.473	86
448.473	84
449.473	102
450.473	91
451.472	103
452.472	108
453.472	105
454.472	117
455.472	92
456.472	103
457.472	96
458.472	110
459.472	97
460.472	111
461.472	104
462.472	84
463.472	65
464.472	96
465.472	100
466.472	97
467.471	98
468.471	97
469.471	98
470.471	94
471.471	104
472.471	99
473.471	108
474.471	109
475.471	105
476.471	96
477.471	93
478.471	103
479.471	78
480.471	94
481.471	98
482.471	98
483.47	109
484.47	113
485.47	100
486.47	92
487.47	112
488.47	89
489.47	95
490.47	92
491.47	88
492.47	86
493.47	86
494.47	107
495.47	68
496.47	95
497.47	77
498.47	99
499.47	86
500.469	77
501.469	103
502.469	81
503.469	97
504.469	98
505.469	103
506.469	85
507.469	106
508.469	93
509.469	91
510.469	113
511.469	100
512.469	106
513.469	109
514.469	107
515.469	93
516.469	96
517.468	99
518.468	107
519.468	87
520.468	77
521.468	102
522.468	102
523.468	93
524.468	77
525.468	89
526.468	94
527.468	85
528.468	107
529.468	104
530.468	92
531.468	97
532.468	100
533.467	115
534.467	87
535.467	98
536.467	99
537.467	91
538.467	92
539.467	75
540.467	103
541.467	89
542.467	103
543.467	100
544.467	99
545.467	93
546.467	84
547.467	75
548.467	88
549.466	93
550.466	95
551.466	97
552.466	101
553.466	101
554.466	109
555.466	85
556.466	91
557.466	88
558.466	95
559.466	90
560.466	105
561.466	94
562.466	83
563.466	85
564.466	84
565.466	87
566.465	93
567.465	84
568.465	75
569.465	95
570.465	88
571.465	88
572.465	96
573.465	82
574.465	79
575.465	90
576.465	86
577.465	101
578.465	96
579.465	88
580.465	83
581.465	102
582.464	80
583.464	87
584.464	89
585.464	77
586.464	82
587.464	81
588.464	84
589.464	91
590.464	85
591.464	91
592.464	89
593.464	82
594.464	81
595.464	91
596.464	78
597.464	103
598.464	83
599.463	106
600.463	102
601.463	74
602.463	93
603.463	84
604.463	92
605.463	81
606.463	80
607.463	90
608.463	107
609.463	88
610.463	91
611.463	91
612.463	94
613.463	91
614.463	92
615.462	85
616.462	99
617.462	83
618.462	85
619.462	88
620.462	73
621.462	93
622.462	75
623.462	108
624.462	95
625.462	77
626.462	88
627.462	82
628.462	76
629.462	84
630.462	76
631.461	91
632.461	83
633.461	90
634.461	90
635.461	83
636.461	84
637.461	67
638.461	90
639.461	105
640.461	71
641.461	91
642.461	90
643.461	83
644.461	82
645.461	66
646.461	82
647.461	93
648.46	85
649.46	83
650.46	94
651.46	78
652.46	88
653.46	94
654.46	93
655.46	71
656.46	84
657.46	93
658.46	100
659.46	97
660.46	85
661.46	83
662.46	66
663.46	81
664.459	85
665.459	79
666.459	69
667.459	83
668.459	86
669.459	92
670.459	95
671.459	84
672.459	90
673.459	79
674.459	92
675.459	86
676.459	101
677.459	91
678.459	96
679.459	95
680.458	92
681.458	72
682.458	79
683.458	75
684.458	68
685.458	81
686.458	75
687.458	97
688.458	102
689.458	80
690.458	103
691.458	76
692.458	71
693.458	92
694.458	73
695.458	93
696.458	83
697.457	94
698.457	76
699.457	67
700.457	81
701.457	81
702.457	82
703.457	76
704.457	89
705.457	74
706.457	77
707.457	79
708.457	86
709.457	82
710.457	98
711.457	73
712.457	85
713.456	93
714.456	83
715.456	83
716.456	97
717.456	91
718.456	81
719.456	91
720.456	73
721.456	82
722.456	90
723.456	69
724.456	86
725.456	91
726.456	84
727.456	60
728.456	72
729.456	77
730.455	76
731.455	82
732.455	87
733.455	92
734.455	79
735.455	80
736.455	82
737.455	78
738.455	87
739.455	70
740.455	60
741.455	85
742.455	67
743.455	88
744.455	89
745.455	89
746.454	74
747.454	89
748.454	73
749.454	62
750.454	73
751.454	70
752.454	76
753.454	68
754.454	76
755.454	81
756.454	66
757.454	84
758.454	66
759.454	80
760.454	56
761.454	83
762.453	70
763.453	83
764.453	62
765.453	74
766.453	82
767.453	70
768.453	89
769.453	76
770.453	76
771.453	75
772.453	71
773.453	79
774.453	67
775.453	77
776.453	75
777.453	69
778.453	66
779.452	59
780.452	86
781.452	73
782.452	83
783.452	54
784.452	77
785.452	70
786.452	72
787.452	75
788.452	89
789.452	64
790.452	70
791.452	74
792.452	67
793.452	67
794.452	62
795.451	69
796.451	91
797.451	74
798.451	71
799.451	76
800.451	64
801.451	70
802.451	76
803.451	70
804.451	79
805.451	67
806.451	73
807.451	65
808.451	74
809.451	71
810.451	62
811.451	67
812.45	64
813.45	69
814.45	57
815.45	58
816.45	65
817.45	62
818.45	60
819.45	84
820.45	85
821.45	65
822.45	74
823.45	63
824.45	59
825.45	72
826.45	74
827.45	73
828.449	68
829.449	66
830.449	59
831.449	74
832.449	73
833.449	53
834.449	64
835.449	71
836.449	69
837.449	69
838.449	69
839.449	51
840.449	60
841.449	64
842.449	51
843.449	58
844.448	75
845.448	62
846.448	66
847.448	73
848.448	81
849.448	59
850.448	75
851.448	63
852.448	69
853.448	70
854.448	63
855.448	67
856.448	55
857.448	54
858.448	71
859.448	67
860.448	65
861.447	78
862.447	52
863.447	71
864.447	54
865.447	81
866.447	72
867.447	52
868.447	65
869.447	54
870.447	56
871.447	67
872.447	58
873.447	83
874.447	59
875.447	69
876.447	69
877.446	62
878.446	64
879.446	78
880.446	79
881.446	53
882.446	50
883.446	77
884.446	77
885.446	75
886.446	67
887.446	72
888.446	63
889.446	52
890.446	68
891.446	61
892.446	68
893.445	60
894.445	61
895.445	63
896.445	58
897.445	67
898.445	74
899.445	65
900.445	64
901.445	64
902.445	59
903.445	67
904.445	61
905.445	82
906.445	60
907.445	58
908.445	58
909.445	56
910.444	56
911.444	62
912.444	79
913.444	71
914.444	62
915.444	59
916.444	64
917.444	74
918.444	66
919.444	67
920.444	63
921.444	71
922.444	63
923.444	69
924.444	62
925.444	59
926.443	49
927.443	65
928.443	63
929.443	53
930.443	63
931.443	69
932.443	71
933.443	59
934.443	57
935.443	66
936.443	41
937.443	68
938.443	66
939.443	42
940.443	48
941.443	71
942.443	55
943.442	70
944.442	63
945.442	53
946.442	55
947.442	63
948.442	75
949.442	60
950.442	52
951.442	64
952.442	61
953.442	55
954.442	47
955.442	67
956.442	55
957.442	55
958.442	61
959.441	57
960.441	63
961.441	60
962.441	58
963.441	64
964.441	55
965.441	51
966.441	60
967.441	62
968.441	57
969.441	62
970.441	46
971.441	54
972.441	43
973.441	61
974.441	54
975.44	60
976.44	51
977.44	61
978.44	56
979.44	51
980.44	58
981.44	52
982.44	44
983.44	64
984.44	48
985.44	46
986.44	47
987.44	64
988.44	52
989.44	60
990.44	53
991.44	43
992.439	58
993.439	61
994.439	60
995.439	56
996.439	62
997.439	63
998.439	57
999.439	57
1000.44	66
1001.44	70
1002.44	71
1003.44	62
1004.44	50
1005.44	69
1006.44	48
1007.44	62
1008.44	55
1009.44	49
1010.44	68
1011.44	51
1012.44	54
1013.44	54
1014.44	48
1015.44	57
1016.44	52
1017.44	66
1018.44	53
1019.44	43
1020.44	54
1021.44	60
1022.44	54
1023.44	42
1024.44	52
1025.44	56
1026.44	55
1027.44	56
1028.44	48
1029.44	51
1030.44	47
1031.44	43
1032.44	46
1033.44	41
1034.44	55
1035.44	50
1036.44	51
1037.44	51
1038.44	53
1039.44	55
1040.44	47
1041.44	49
1042.44	51
1043.44	60
1044.44	57
1045.44	49
1046.44	52
1047.44	49
1048.44	51
1049.44	47
1050.44	58
1051.44	64
1052.44	56
1053.44	58
1054.44	50
1055.44	56
1056.44	46
1057.44	49
1058.44	45
1059.44	46
1060.44	44
1061.44	45
1062.44	61
1063.44	50
1064.44	48
1065.43	49
1066.43	54
1067.43	63
1068.43	43
1069.43	48
1070.43	60
1071.43	46
1072.43	52
1073.43	53
1074.43	50
1075.43	50
1076.43	50
1077.43	36
1078.43	52
1079.43	66
1080.43	62
1081.43	57
1082.43	65
1083.43	48
1084.43	43
1085.43	50
1086.43	42
1087.43	52
1088.43	48
1089.43	43
1090.43	49
1091.43	44
1092.43	38
1093.43	39
1094.43	44
1095.43	38
1096.43	46
1097.43	47
1098.43	54
1099.43	45
1100.43	54
1101.43	48
1102.43	62
1103.43	57
1104.43	46
1105.43	38
1106.43	38
1107.43	53
1108.43	47
1109.43	44
1110.43	52
1111.43	47
1112.43	53
1113.43	52
1114.43	65
1115.43	47
1116.43	46
1117.43	50
1118.43	45
1119.43	40
1120.43	50
1121.43	38
1122.43	51
1123.43	48
1124.43	45
1125.43	47
1126.43	46
1127.43	55
1128.43	38
1129.43	53
1130.43	46
1131.43	41
1132.43	44
1133.43	44
1134.43	45
1135.43	36
1136.43	50
1137.43	52
1138.43	50
1139.43	42
1140.43	43
1141.43	53
1142.43	51
1143.43	40
1144.43	42
1145.43	53
1146.43	45
1147.43	40
1148.43	42
1149.43	46
1150.43	43
1151.43	45
1152.43	50
1153.43	52
1154.43	45
1155.43	45
1156.43	39
1157.43	40
1158.43	44
1159.43	44
1160.43	42
1161.43	52
1162.43	48
1163.43	50
1164.43	53
1165.43	51
1166.43	58
1167.43	51
1168.43	54
1169.43	47
1170.43	42
1171.43	39
1172.43	51
1173.43	45
1174.43	41
1175.43	46
1176.43	52
1177.43	40
1178.43	46
1179.43	49
1180.43	52
1181.43	47
1182.43	35
1183.43	43
1184.43	39
1185.43	41
1186.43	43
1187.43	40
1188.43	39
1189.43	45
1190.43	45
1191.43	46
1192.43	34
1193.43	41
1194.43	39
1195.43	38
1196.43	41
1197.43	57
1198.43	50
1199.43	43
1200.43	52
1201.43	44
1202.43	32
1203.43	50
1204.43	45
1205.43	44
1206.43	45
1207.43	41
1208.43	46
1209.43	61
1210.43	43
1211.43	41
1212.43	46
1213.43	39
1214.43	35
1215.43	51
1216.43	37
1217.43	40
1218.43	47
1219.43	41
1220.43	50
1221.43	43
1222.43	45
1223.43	42
1224.43	44
1225.43	48
1226.43	35
1227.43	49
1228.43	51
1229.42	53
1230.42	49
1231.42	47
1232.42	38
1233.42	58
1234.42	48
1235.42	50
1236.42	49
1237.42	44
1238.42	40
1239.42	54
1240.42	53
1241.42	34
1242.42	45
1243.42	35
1244.42	37
1245.42	51
1246.42	43
1247.42	46
1248.42	45
1249.42	43
1250.42	34
1251.42	44
1252.42	36
