Time [seconds]	Counts
4.99492e+11	184
1.49848e+12	195
2.49746e+12	178
3.49644e+12	187
4.49543e+12	192
5.49441e+12	166
6.49339e+12	189
7.49238e+12	165
8.49136e+12	188
9.49034e+12	183
1.04893e+13	194
1.14883e+13	163
1.24873e+13	192
1.34863e+13	200
1.44853e+13	163
1.54842e+13	189
1.64832e+13	172
1.74822e+13	179
1.84812e+13	171
1.94802e+13	178
2.04792e+13	191
2.14781e+13	173
2.24771e+13	181
2.34761e+13	163
2.44751e+13	194
2.54741e+13	199
2.64731e+13	201
2.74721e+13	168
2.8471e+13	176
2.947e+13	172
3.0469e+13	182
3.1468e+13	170
3.2467e+13	200
3.3466e+13	206
3.44649e+13	175
3.54639e+13	186
3.64629e+13	186
3.74619e+13	185
3.84609e+13	173
3.94599e+13	193
4.04588e+13	182
4.14578e+13	214
4.24568e+13	164
4.34558e+13	169
4.44548e+13	159
4.54538e+13	193
4.64527e+13	218
4.74517e+13	181
4.84507e+13	178
4.94497e+13	176
5.04487e+13	173
5.14477e+13	203
5.24466e+13	175
5.34456e+13	211
5.44446e+13	186
5.54436e+13	181
5.64426e+13	173
5.74416e+13	175
5.84405e+13	185
5.94395e+13	165
6.04385e+13	185
6.14375e+13	204
6.24365e+13	185
6.34355e+13	174
6.44344e+13	178
6.54334e+13	173
6.64324e+13	185
6.74314e+13	171
6.84304e+13	194
6.94294e+13	185
7.04284e+13	173
7.14273e+13	164
7.24263e+13	187
7.34253e+13	184
7.44243e+13	175
7.54233e+13	181
7.64222e+13	190
7.74212e+13	195
7.84202e+13	201
7.94192e+13	171
8.04182e+13	165
8.14172e+13	182
8.24162e+13	190
8.34151e+13	186
8.44141e+13	172
8.54131e+13	180
8.64121e+13	209
8.74111e+13	190
8.84101e+13	188
8.9409e+13	184
9.0408e+13	190
9.1407e+13	164
9.2406e+13	173
9.3405e+13	164
9.4404e+13	200
9.54029e+13	191
9.64019e+13	163
9.74009e+13	178
9.83999e+13	186
9.93989e+13	160
1.00398e+14	182
1.01397e+14	164
1.02396e+14	195
1.03395e+14	172
1.04394e+14	168
1.05393e+14	203
1.06392e+14	187
1.07391e+14	168
1.0839e+14	186
1.09389e+14	167
1.10388e+14	198
1.11387e+14	183
1.12386e+14	191
1.13385e+14	178
1.14384e+14	184
1.15383e+14	171
1.16382e+14	194
1.17381e+14	175
1.1838e+14	181
1.19379e+14	210
1.20378e+14	189
