Time [ns]	Counts
-1995	0
-1985	0
-1975	2
-1965	1
-1955	0
-1945	1
-1935	2
-1925	2
-1915	0
-1905	1
-1895	1
-1885	0
-1875	2
-1865	1
-1855	0
-1845	1
-1835	0
-1825	0
-1815	1
-1805	0
-1795	1
-1785	0
-1775	0
-1765	0
-1755	0
-1745	2
-1735	2
-1725	3
-1715	0
-1705	1
-1695	0
-1685	0
-1675	1
-1665	1
-1655	0
-1645	1
-1635	0
-1625	0
-1615	0
-1605	0
-1595	1
-1585	1
-1575	0
-1565	0
-1555	0
-1545	2
-1535	1
-1525	1
-1515	0
-1505	2
-1495	0
-1485	1
-1475	1
-1465	2
-1455	1
-1445	2
-1435	1
-1425	0
-1415	0
-1405	1
-1395	0
-1385	0
-1375	1
-1365	2
-1355	0
-1345	1
-1335	1
-1325	0
-1315	0
-1305	1
-1295	1
-1285	0
-1275	3
-1265	0
-1255	0
-1245	0
-1235	4
-1225	2
-1215	1
-1205	1
-1195	1
-1185	1
-1175	0
-1165	2
-1155	0
-1145	0
-1135	1
-1125	0
-1115	0
-1105	0
-1095	0
-1085	0
-1075	0
-1065	0
-1055	0
-1045	0
-1035	2
-1025	1
-1015	1
-1005	1
-995	1
-985	1
-975	0
-965	2
-955	0
-945	2
-935	0
-925	1
-915	0
-905	0
-895	0
-885	1
-875	1
-865	0
-855	0
-845	1
-835	2
-825	1
-815	0
-805	1
-795	0
-785	0
-775	1
-765	0
-755	2
-745	0
-735	0
-725	0
-715	0
-705	0
-695	0
-685	1
-675	1
-665	0
-655	1
-645	2
-635	0
-625	0
-615	0
-605	0
-595	1
-585	0
-575	1
-565	0
-555	0
-545	0
-535	1
-525	0
-515	0
-505	1
-495	1
-485	1
-475	0
-465	2
-455	1
-445	1
-435	0
-425	2
-415	2
-405	0
-395	1
-385	1
-375	0
-365	1
-355	0
-345	1
-335	1
-325	2
-315	1
-305	2
-295	1
-285	0
-275	0
-265	0
-255	0
-245	0
-235	1
-225	3
-215	0
-205	1
-195	1
-185	0
-175	2
-165	3
-155	1
-145	0
-135	0
-125	1
-115	0
-105	1
-95	1
-85	1
-75	0
-65	0
-55	0
-45	2
-35	3
-25	1
-15	121
-5	55
5	0
15	2
25	0
35	0
45	0
55	1
65	1
75	2
85	0
95	5
105	1
115	1
125	0
135	0
145	0
155	0
165	1
175	0
185	0
195	0
205	0
215	0
225	0
235	1
245	0
255	0
265	0
275	1
285	0
295	0
305	0
315	1
325	1
335	0
345	0
355	0
365	0
375	0
385	0
395	1
405	0
415	1
425	0
435	1
445	1
455	1
465	1
475	0
485	0
495	1
505	2
515	0
525	1
535	0
545	0
555	1
565	0
575	0
585	0
595	0
605	0
615	0
625	1
635	1
645	0
655	1
665	0
675	0
685	0
695	1
705	1
715	0
725	1
735	0
745	2
755	0
765	1
775	0
785	1
795	0
805	1
815	0
825	1
835	2
845	1
855	0
865	0
875	2
885	0
895	2
905	1
915	0
925	0
935	0
945	0
955	1
965	0
975	2
985	0
995	0
1005	0
1015	1
1025	1
1035	0
1045	0
1055	0
1065	0
1075	0
1085	0
1095	0
1105	1
1115	0
1125	1
1135	0
1145	1
1155	1
1165	1
1175	3
1185	1
1195	0
1205	0
1215	0
1225	1
1235	0
1245	0
1255	2
1265	2
1275	1
1285	1
1295	1
1305	2
1315	0
1325	1
1335	3
1345	2
1355	0
1365	1
1375	1
1385	1
1395	1
1405	0
1415	1
1425	1
1435	0
1445	0
1455	0
1465	1
1475	1
1485	0
1495	0
1505	0
1515	1
1525	1
1535	1
1545	0
1555	0
1565	1
1575	1
1585	1
1595	1
1605	2
1615	1
1625	0
1635	0
1645	0
1655	0
1665	1
1675	1
1685	2
1695	1
1705	0
1715	3
1725	0
1735	0
1745	0
1755	1
1765	1
1775	2
1785	0
1795	0
1805	1
1815	1
1825	1
1835	0
1845	0
1855	1
1865	0
1875	0
1885	0
1895	1
1905	2
1915	0
1925	1
1935	0
1945	1
1955	1
1965	1
1975	1
1985	0
1995	2
