Time [seconds]	Counts
4.98923e+11	253
1.49677e+12	269
2.49462e+12	275
3.49246e+12	299
4.49031e+12	286
5.48815e+12	270
6.486e+12	278
7.48385e+12	252
8.48169e+12	307
9.47954e+12	235
1.04774e+13	260
1.14752e+13	239
1.24731e+13	257
1.34709e+13	257
1.44688e+13	257
1.54666e+13	279
1.64645e+13	283
1.74623e+13	262
1.84602e+13	256
1.9458e+13	263
2.04558e+13	276
2.14537e+13	235
2.24515e+13	262
2.34494e+13	300
2.44472e+13	275
2.54451e+13	274
2.64429e+13	272
2.74408e+13	282
2.84386e+13	276
2.94365e+13	299
3.04343e+13	263
3.14322e+13	264
3.243e+13	285
3.34278e+13	296
3.44257e+13	293
3.54235e+13	294
3.64214e+13	267
3.74192e+13	260
3.84171e+13	291
3.94149e+13	274
4.04128e+13	254
4.14106e+13	282
4.24085e+13	268
4.34063e+13	265
4.44042e+13	250
4.5402e+13	270
4.63998e+13	277
4.73977e+13	268
4.83955e+13	274
4.93934e+13	260
5.03912e+13	276
5.13891e+13	278
5.23869e+13	256
5.33848e+13	251
5.43826e+13	281
5.53805e+13	279
5.63783e+13	268
5.73762e+13	257
5.8374e+13	270
5.93718e+13	261
6.03697e+13	303
6.13675e+13	247
6.23654e+13	286
6.33632e+13	270
6.43611e+13	261
6.53589e+13	240
6.63568e+13	288
6.73546e+13	242
6.83525e+13	259
6.93503e+13	255
7.03482e+13	272
7.1346e+13	290
7.23439e+13	269
7.33417e+13	255
7.43395e+13	286
7.53374e+13	263
7.63352e+13	227
7.73331e+13	247
7.83309e+13	283
7.93288e+13	284
8.03266e+13	247
8.13245e+13	246
8.23223e+13	273
8.33202e+13	268
8.4318e+13	267
8.53159e+13	283
8.63137e+13	257
8.73115e+13	256
8.83094e+13	305
8.93072e+13	257
9.03051e+13	273
9.13029e+13	283
9.23008e+13	284
9.32986e+13	271
9.42965e+13	272
9.52943e+13	243
9.62922e+13	225
9.729e+13	259
9.82878e+13	253
9.92857e+13	285
1.00284e+14	256
1.01281e+14	260
1.02279e+14	278
1.03277e+14	263
1.04275e+14	276
1.05273e+14	277
1.06271e+14	286
1.07268e+14	264
1.08266e+14	283
1.09264e+14	285
1.10262e+14	244
1.1126e+14	274
1.12258e+14	272
1.13256e+14	267
1.14253e+14	276
1.15251e+14	293
1.16249e+14	286
1.17247e+14	271
1.18245e+14	270
1.19243e+14	268
1.2024e+14	256
1.21238e+14	276
1.22236e+14	250
1.23234e+14	260
1.24232e+14	236
1.2523e+14	289
1.26228e+14	283
1.27225e+14	257
1.28223e+14	268
1.29221e+14	268
1.30219e+14	270
1.31217e+14	255
1.32215e+14	267
1.33212e+14	264
1.3421e+14	265
1.35208e+14	300
1.36206e+14	291
1.37204e+14	274
1.38202e+14	283
1.392e+14	275
1.40197e+14	268
1.41195e+14	234
1.42193e+14	278
1.43191e+14	290
1.44189e+14	282
1.45187e+14	236
1.46184e+14	296
1.47182e+14	298
1.4818e+14	290
1.49178e+14	274
1.50176e+14	303
1.51174e+14	278
1.52172e+14	271
1.53169e+14	276
1.54167e+14	287
1.55165e+14	259
1.56163e+14	256
1.57161e+14	251
1.58159e+14	269
1.59156e+14	297
1.60154e+14	274
1.61152e+14	262
1.6215e+14	311
1.63148e+14	250
1.64146e+14	264
1.65144e+14	300
1.66141e+14	264
1.67139e+14	279
1.68137e+14	273
1.69135e+14	281
1.70133e+14	283
1.71131e+14	307
1.72128e+14	282
1.73126e+14	287
1.74124e+14	266
1.75122e+14	277
1.7612e+14	247
1.77118e+14	279
1.78116e+14	268
1.79113e+14	282
1.80111e+14	249
1.81109e+14	244
1.82107e+14	284
1.83105e+14	259
1.84103e+14	272
1.851e+14	277
1.86098e+14	296
1.87096e+14	295
1.88094e+14	262
1.89092e+14	263
1.9009e+14	299
1.91088e+14	288
1.92085e+14	278
1.93083e+14	279
1.94081e+14	279
1.95079e+14	293
1.96077e+14	288
1.97075e+14	246
1.98072e+14	262
1.9907e+14	276
2.00068e+14	269
2.01066e+14	246
2.02064e+14	291
2.03062e+14	272
2.0406e+14	286
2.05057e+14	286
2.06055e+14	284
2.07053e+14	285
2.08051e+14	254
2.09049e+14	300
2.10047e+14	310
2.11044e+14	249
2.12042e+14	263
2.1304e+14	286
2.14038e+14	256
2.15036e+14	247
2.16034e+14	275
2.17032e+14	276
2.18029e+14	281
2.19027e+14	283
2.20025e+14	291
2.21023e+14	273
2.22021e+14	263
2.23019e+14	285
2.24016e+14	296
2.25014e+14	225
2.26012e+14	308
2.2701e+14	271
2.28008e+14	245
2.29006e+14	304
2.30004e+14	286
2.31001e+14	263
2.31999e+14	298
2.32997e+14	262
2.33995e+14	288
2.34993e+14	274
2.35991e+14	288
2.36988e+14	266
2.37986e+14	307
2.38984e+14	277
2.39982e+14	261
2.4098e+14	271
2.41978e+14	269
2.42976e+14	275
2.43973e+14	266
2.44971e+14	241
2.45969e+14	274
2.46967e+14	248
2.47965e+14	274
2.48963e+14	295
2.4996e+14	250
2.50958e+14	264
2.51956e+14	276
2.52954e+14	273
2.53952e+14	260
2.5495e+14	267
2.55948e+14	246
2.56945e+14	300
2.57943e+14	283
2.58941e+14	277
2.59939e+14	275
2.60937e+14	276
2.61935e+14	266
2.62932e+14	254
2.6393e+14	258
2.64928e+14	299
2.65926e+14	267
2.66924e+14	269
2.67922e+14	259
2.6892e+14	282
2.69917e+14	250
2.70915e+14	288
2.71913e+14	252
2.72911e+14	297
2.73909e+14	279
2.74907e+14	269
2.75904e+14	285
2.76902e+14	272
2.779e+14	312
2.78898e+14	287
2.79896e+14	290
2.80894e+14	275
2.81892e+14	287
2.82889e+14	268
2.83887e+14	300
2.84885e+14	275
2.85883e+14	253
2.86881e+14	276
2.87879e+14	260
2.88876e+14	275
2.89874e+14	258
2.90872e+14	252
2.9187e+14	255
2.92868e+14	270
2.93866e+14	284
2.94864e+14	297
2.95861e+14	307
2.96859e+14	258
2.97857e+14	274
2.98855e+14	260
2.99853e+14	276
3.00851e+14	255
3.01848e+14	277
3.02846e+14	291
3.03844e+14	280
3.04842e+14	295
3.0584e+14	256
3.06838e+14	259
3.07836e+14	284
3.08833e+14	271
3.09831e+14	279
3.10829e+14	279
3.11827e+14	292
3.12825e+14	283
3.13823e+14	284
3.1482e+14	267
3.15818e+14	245
3.16816e+14	283
3.17814e+14	279
3.18812e+14	262
3.1981e+14	297
3.20808e+14	272
3.21805e+14	265
3.22803e+14	272
3.23801e+14	256
3.24799e+14	290
3.25797e+14	244
3.26795e+14	277
3.27792e+14	247
3.2879e+14	255
3.29788e+14	264
3.30786e+14	279
3.31784e+14	300
3.32782e+14	285
3.3378e+14	283
3.34777e+14	267
3.35775e+14	283
3.36773e+14	266
3.37771e+14	302
3.38769e+14	268
3.39767e+14	248
3.40764e+14	277
3.41762e+14	277
3.4276e+14	261
3.43758e+14	277
3.44756e+14	267
3.45754e+14	289
3.46752e+14	265
3.47749e+14	263
3.48747e+14	258
3.49745e+14	289
3.50743e+14	256
3.51741e+14	296
3.52739e+14	275
3.53736e+14	264
3.54734e+14	279
3.55732e+14	251
3.5673e+14	272
3.57728e+14	299
3.58726e+14	261
3.59724e+14	269
3.60721e+14	284
3.61719e+14	286
3.62717e+14	275
3.63715e+14	253
3.64713e+14	269
3.65711e+14	241
3.66708e+14	262
3.67706e+14	251
3.68704e+14	296
3.69702e+14	284
3.707e+14	274
3.71698e+14	277
3.72696e+14	263
3.73693e+14	265
3.74691e+14	279
3.75689e+14	274
3.76687e+14	268
3.77685e+14	251
3.78683e+14	266
3.7968e+14	282
3.80678e+14	273
3.81676e+14	259
3.82674e+14	266
3.83672e+14	281
3.8467e+14	275
3.85668e+14	248
3.86665e+14	260
3.87663e+14	284
3.88661e+14	277
3.89659e+14	284
3.90657e+14	258
3.91655e+14	292
3.92652e+14	279
3.9365e+14	265
3.94648e+14	270
3.95646e+14	258
3.96644e+14	257
3.97642e+14	277
3.9864e+14	255
3.99637e+14	253
