Channel	Counts
0.499969	36
1.49991	0
2.49985	0
3.49979	0
4.49973	0
5.49966	0
6.4996	1
7.49954	0
8.49948	0
9.49942	0
10.4994	0
11.4993	1
12.4992	0
13.4992	0
14.4991	0
15.4991	1
16.499	0
17.4989	0
18.4989	0
19.4988	0
20.4987	0
21.4987	0
22.4986	0
23.4986	1
24.4985	0
25.4984	3
26.4984	0
27.4983	0
28.4983	1
29.4982	0
30.4981	0
31.4981	1
32.498	0
33.498	1
34.4979	1
35.4978	0
36.4978	0
37.4977	0
38.4977	0
39.4976	0
40.4975	0
41.4975	0
42.4974	0
43.4973	0
44.4973	0
45.4972	0
46.4972	0
47.4971	0
48.497	1
49.497	0
50.4969	0
51.4969	0
52.4968	0
53.4967	0
54.4967	0
55.4966	0
56.4966	1
57.4965	0
58.4964	2
59.4964	0
60.4963	0
61.4962	0
62.4962	0
63.4961	1
64.4961	0
65.496	0
66.4959	0
67.4959	1
68.4958	1
69.4958	1
70.4957	2
71.4956	1
72.4956	2
73.4955	3
74.4955	3
75.4954	1
76.4953	2
77.4953	0
78.4952	1
79.4951	3
80.4951	4
81.495	0
82.495	2
83.4949	3
84.4948	2
85.4948	1
86.4947	3
87.4947	0
88.4946	4
89.4945	3
90.4945	2
91.4944	1
92.4944	1
93.4943	4
94.4942	2
95.4942	3
96.4941	2
97.494	3
98.494	5
99.4939	5
100.494	5
101.494	3
102.494	3
103.494	4
104.494	7
105.494	7
106.493	3
107.493	8
108.493	7
109.493	4
110.493	6
111.493	5
112.493	12
113.493	10
114.493	6
115.493	10
116.493	15
117.493	16
118.493	9
119.493	15
120.493	8
121.493	20
122.493	11
123.492	20
124.492	11
125.492	12
126.492	9
127.492	20
128.492	25
129.492	14
130.492	16
131.492	14
132.492	15
133.492	20
134.492	15
135.492	22
136.492	14
137.492	15
138.492	18
139.491	23
140.491	13
141.491	19
142.491	23
143.491	16
144.491	26
145.491	24
146.491	13
147.491	14
148.491	18
149.491	32
150.491	26
151.491	29
152.491	25
153.491	34
154.491	33
155.491	32
156.49	21
157.49	35
158.49	26
159.49	30
160.49	34
161.49	29
162.49	37
163.49	30
164.49	32
165.49	31
166.49	41
167.49	40
168.49	35
169.49	44
170.49	35
171.49	34
172.489	53
173.489	47
174.489	42
175.489	47
176.489	45
177.489	47
178.489	46
179.489	45
180.489	56
181.489	38
182.489	46
183.489	45
184.489	60
185.489	44
186.489	51
187.489	72
188.488	50
189.488	61
190.488	47
191.488	64
192.488	71
193.488	81
194.488	60
195.488	57
196.488	79
197.488	66
198.488	74
199.488	74
200.488	65
201.488	76
202.488	65
203.488	79
204.488	82
205.487	83
206.487	93
207.487	78
208.487	71
209.487	91
210.487	69
211.487	85
212.487	82
213.487	93
214.487	87
215.487	83
216.487	96
217.487	101
218.487	93
219.487	81
220.487	108
221.486	105
222.486	116
223.486	94
224.486	109
225.486	100
226.486	110
227.486	109
228.486	117
229.486	115
230.486	112
231.486	120
232.486	130
233.486	134
234.486	140
235.486	118
236.486	130
237.486	126
238.485	133
239.485	125
240.485	130
241.485	139
242.485	147
243.485	138
244.485	144
245.485	143
246.485	167
247.485	141
248.485	141
249.485	140
250.485	120
251.485	137
252.485	128
253.485	152
254.484	123
255.484	174
256.484	148
257.484	174
258.484	149
259.484	167
260.484	148
261.484	150
262.484	160
263.484	177
264.484	174
265.484	151
266.484	178
267.484	194
268.484	175
269.484	164
270.483	140
271.483	162
272.483	161
273.483	155
274.483	167
275.483	178
276.483	174
277.483	170
278.483	171
279.483	164
280.483	148
281.483	171
282.483	173
283.483	195
284.483	159
285.483	183
286.483	163
287.482	153
288.482	178
289.482	161
290.482	169
291.482	180
292.482	161
293.482	185
294.482	168
295.482	184
296.482	155
297.482	175
298.482	166
299.482	165
300.482	165
301.482	182
302.482	189
303.481	175
304.481	169
305.481	179
306.481	167
307.481	166
308.481	173
309.481	192
310.481	164
311.481	152
312.481	163
313.481	199
314.481	169
315.481	179
316.481	187
317.481	182
318.481	174
319.48	161
320.48	182
321.48	172
322.48	149
323.48	188
324.48	165
325.48	165
326.48	184
327.48	165
328.48	158
329.48	154
330.48	170
331.48	145
332.48	167
333.48	148
334.48	168
335.48	150
336.479	170
337.479	167
338.479	126
339.479	125
340.479	146
341.479	137
342.479	158
343.479	138
344.479	129
345.479	137
346.479	127
347.479	135
348.479	142
349.479	154
350.479	170
351.479	142
352.478	123
353.478	123
354.478	130
355.478	108
356.478	112
357.478	129
358.478	121
359.478	109
360.478	120
361.478	116
362.478	108
363.478	119
364.478	112
365.478	111
366.478	103
367.478	102
368.478	116
369.477	74
370.477	104
371.477	106
372.477	104
373.477	114
374.477	83
375.477	87
376.477	100
377.477	89
378.477	108
379.477	92
380.477	92
381.477	91
382.477	103
383.477	99
384.477	109
385.476	94
386.476	94
387.476	96
388.476	111
389.476	101
390.476	110
391.476	109
392.476	89
393.476	80
394.476	95
395.476	91
396.476	89
397.476	102
398.476	84
399.476	86
400.476	81
401.475	86
402.475	96
403.475	83
404.475	75
405.475	92
406.475	76
407.475	77
408.475	95
409.475	72
410.475	87
411.475	89
412.475	89
413.475	87
414.475	98
415.475	83
416.475	85
417.475	78
418.474	94
419.474	90
420.474	97
421.474	84
422.474	86
423.474	93
424.474	106
425.474	87
426.474	93
427.474	92
428.474	94
429.474	95
430.474	72
431.474	99
432.474	84
433.474	87
434.473	91
435.473	87
436.473	83
437.473	84
438.473	93
439.473	98
440.473	80
441.473	89
442.473	100
443.473	102
444.473	90
445.473	84
446.473	75
447.473	74
448.473	72
449.473	86
450.473	106
451.472	92
452.472	88
453.472	94
454.472	89
455.472	105
456.472	81
457.472	81
458.472	78
459.472	106
460.472	86
461.472	84
462.472	80
463.472	91
464.472	93
