Channel	Counts
0.499969	12
1.49991	0
2.49985	0
3.49979	0
4.49973	0
5.49966	0
6.4996	0
7.49954	0
8.49948	0
9.49942	0
10.4994	0
11.4993	0
12.4992	0
13.4992	0
14.4991	0
15.4991	0
16.499	0
17.4989	0
18.4989	0
19.4988	0
20.4987	1
21.4987	0
22.4986	0
23.4986	0
24.4985	0
25.4984	0
26.4984	1
27.4983	0
28.4983	0
29.4982	0
30.4981	0
31.4981	0
32.498	0
33.498	0
34.4979	0
35.4978	0
36.4978	0
37.4977	0
38.4977	0
39.4976	0
40.4975	0
41.4975	0
42.4974	0
43.4973	0
44.4973	0
45.4972	0
46.4972	0
47.4971	0
48.497	0
49.497	0
50.4969	0
51.4969	0
52.4968	0
53.4967	0
54.4967	0
55.4966	0
56.4966	0
57.4965	0
58.4964	0
59.4964	0
60.4963	0
61.4962	0
62.4962	1
63.4961	0
64.4961	0
65.496	0
66.4959	0
67.4959	0
68.4958	0
69.4958	0
70.4957	0
71.4956	0
72.4956	0
73.4955	0
74.4955	0
75.4954	0
76.4953	0
77.4953	0
78.4952	0
79.4951	0
80.4951	0
81.495	0
82.495	0
83.4949	0
84.4948	1
85.4948	1
86.4947	0
87.4947	0
88.4946	0
89.4945	0
90.4945	0
91.4944	0
92.4944	0
93.4943	0
94.4942	0
95.4942	0
96.4941	0
97.494	0
98.494	0
99.4939	0
100.494	0
101.494	1
102.494	0
103.494	0
104.494	0
105.494	0
106.493	0
107.493	0
108.493	0
109.493	0
110.493	0
111.493	1
112.493	0
113.493	0
114.493	0
115.493	0
116.493	0
117.493	0
118.493	1
119.493	0
120.493	0
121.493	0
122.493	0
123.492	0
124.492	0
125.492	1
126.492	0
127.492	0
128.492	0
129.492	1
130.492	0
131.492	1
132.492	0
133.492	1
134.492	0
135.492	2
136.492	0
137.492	1
138.492	2
139.491	2
140.491	1
141.491	1
142.491	4
143.491	3
144.491	2
145.491	2
146.491	6
147.491	3
148.491	4
149.491	4
150.491	6
151.491	4
152.491	5
153.491	7
154.491	5
155.491	9
156.49	9
157.49	8
158.49	10
159.49	2
160.49	9
161.49	6
162.49	10
163.49	11
164.49	10
165.49	9
166.49	12
167.49	11
168.49	18
169.49	19
170.49	20
171.49	10
172.489	15
173.489	10
174.489	10
175.489	13
176.489	18
177.489	19
178.489	18
179.489	16
180.489	16
181.489	8
182.489	17
183.489	19
184.489	18
185.489	23
186.489	18
187.489	16
188.488	23
189.488	22
190.488	16
191.488	16
192.488	19
193.488	23
194.488	18
195.488	23
196.488	18
197.488	13
198.488	21
199.488	18
200.488	26
201.488	23
202.488	22
203.488	29
204.488	20
205.487	22
206.487	23
207.487	15
208.487	17
209.487	18
210.487	16
211.487	26
212.487	19
213.487	24
214.487	24
215.487	14
216.487	23
217.487	26
218.487	21
219.487	29
220.487	28
221.486	25
222.486	20
223.486	15
224.486	25
225.486	19
226.486	29
227.486	28
228.486	14
229.486	20
230.486	28
231.486	20
232.486	29
233.486	15
234.486	25
235.486	24
236.486	30
237.486	21
238.485	18
239.485	25
240.485	28
241.485	26
242.485	19
243.485	17
244.485	29
245.485	31
246.485	22
247.485	23
248.485	24
249.485	22
250.485	24
251.485	18
252.485	27
253.485	22
254.484	28
255.484	24
256.484	17
257.484	27
258.484	29
259.484	32
260.484	35
261.484	23
262.484	41
263.484	28
264.484	32
265.484	23
266.484	31
267.484	33
268.484	33
269.484	36
270.483	39
271.483	33
272.483	31
273.483	26
274.483	37
275.483	32
276.483	35
277.483	27
278.483	31
279.483	36
280.483	41
281.483	39
282.483	25
283.483	31
284.483	38
285.483	45
286.483	43
287.482	45
288.482	32
289.482	43
290.482	51
291.482	52
292.482	39
293.482	42
294.482	47
295.482	43
296.482	34
297.482	28
298.482	47
299.482	36
300.482	35
301.482	40
302.482	42
303.481	45
304.481	24
305.481	43
306.481	44
307.481	48
308.481	43
309.481	45
310.481	32
311.481	34
312.481	52
313.481	46
314.481	37
315.481	46
316.481	40
317.481	59
318.481	46
319.48	41
320.48	47
321.48	43
322.48	47
323.48	37
324.48	44
325.48	45
326.48	46
327.48	56
328.48	49
329.48	61
330.48	44
331.48	42
332.48	52
333.48	58
334.48	47
335.48	50
336.479	59
337.479	52
338.479	58
339.479	51
340.479	51
341.479	38
342.479	64
343.479	67
344.479	56
345.479	46
346.479	55
347.479	39
348.479	50
349.479	48
350.479	55
351.479	47
352.478	40
353.478	64
354.478	62
355.478	53
356.478	42
357.478	55
358.478	59
359.478	68
360.478	36
361.478	48
362.478	66
363.478	39
364.478	64
365.478	57
366.478	53
367.478	51
368.478	47
369.477	60
370.477	56
371.477	58
372.477	56
373.477	53
374.477	63
375.477	47
376.477	44
377.477	66
378.477	67
379.477	53
380.477	60
381.477	74
382.477	59
383.477	47
384.477	52
385.476	55
386.476	44
387.476	61
388.476	64
389.476	64
390.476	59
391.476	63
392.476	68
393.476	68
394.476	55
395.476	68
396.476	64
397.476	62
398.476	70
399.476	48
400.476	53
401.475	52
402.475	53
403.475	54
404.475	66
405.475	56
406.475	53
407.475	73
408.475	59
409.475	64
410.475	39
411.475	57
412.475	69
413.475	60
414.475	56
415.475	58
416.475	41
417.475	52
418.474	60
419.474	59
420.474	58
421.474	59
422.474	46
423.474	59
424.474	57
425.474	52
426.474	61
427.474	55
428.474	57
429.474	55
430.474	50
431.474	68
432.474	54
433.474	52
434.473	52
435.473	64
436.473	63
437.473	52
438.473	60
439.473	42
440.473	60
441.473	66
442.473	55
443.473	63
444.473	78
445.473	62
446.473	49
447.473	72
448.473	54
449.473	57
450.473	61
451.472	58
