Time [seconds]	Counts
4.9982e+11	137
1.49946e+12	130
2.4991e+12	121
3.49874e+12	124
4.49838e+12	148
5.49802e+12	124
6.49766e+12	129
7.4973e+12	128
8.49693e+12	114
9.49657e+12	139
1.04962e+13	114
1.14959e+13	143
1.24955e+13	139
1.34951e+13	121
1.44948e+13	109
1.54944e+13	120
1.64941e+13	124
1.74937e+13	131
1.84933e+13	99
1.9493e+13	138
2.04926e+13	146
2.14922e+13	133
2.24919e+13	135
2.34915e+13	122
2.44912e+13	142
2.54908e+13	131
2.64904e+13	129
2.74901e+13	108
2.84897e+13	111
2.94894e+13	126
3.0489e+13	133
3.14886e+13	127
3.24883e+13	116
3.34879e+13	147
3.44876e+13	131
3.54872e+13	110
3.64868e+13	132
3.74865e+13	134
3.84861e+13	124
3.94858e+13	139
4.04854e+13	134
4.1485e+13	112
4.24847e+13	112
4.34843e+13	133
4.4484e+13	131
4.54836e+13	136
4.64832e+13	136
4.74829e+13	121
4.84825e+13	130
4.94822e+13	125
5.04818e+13	130
5.14814e+13	146
5.24811e+13	109
5.34807e+13	93
5.44803e+13	105
5.548e+13	118
5.64796e+13	108
5.74793e+13	95
5.84789e+13	97
5.94785e+13	113
6.04782e+13	109
6.14778e+13	100
6.24775e+13	122
6.34771e+13	89
6.44767e+13	107
6.54764e+13	116
6.6476e+13	108
6.74757e+13	112
6.84753e+13	118
6.94749e+13	105
7.04746e+13	108
7.14742e+13	98
7.24739e+13	105
7.34735e+13	95
7.44731e+13	110
7.54728e+13	108
7.64724e+13	121
7.7472e+13	133
7.84717e+13	105
7.94713e+13	115
8.0471e+13	119
8.14706e+13	111
8.24703e+13	101
8.34699e+13	90
8.44695e+13	107
8.54692e+13	119
8.64688e+13	96
8.74684e+13	95
8.84681e+13	94
8.94677e+13	94
9.04674e+13	101
9.1467e+13	78
9.24666e+13	114
9.34663e+13	109
9.44659e+13	104
9.54656e+13	94
9.64652e+13	101
9.74648e+13	108
9.84645e+13	114
9.94641e+13	120
1.00464e+14	109
1.01463e+14	91
1.02463e+14	122
1.03463e+14	101
1.04462e+14	95
1.05462e+14	121
1.06462e+14	91
1.07461e+14	99
1.08461e+14	117
1.09461e+14	89
1.1046e+14	116
1.1146e+14	120
1.12459e+14	111
1.13459e+14	101
1.14459e+14	105
1.15458e+14	107
1.16458e+14	107
1.17458e+14	105
1.18457e+14	97
1.19457e+14	98
1.20457e+14	99
1.21456e+14	103
1.22456e+14	106
1.23455e+14	110
1.24455e+14	101
1.25455e+14	111
1.26454e+14	117
1.27454e+14	87
1.28454e+14	97
1.29453e+14	109
1.30453e+14	107
1.31453e+14	111
1.32452e+14	112
1.33452e+14	89
1.34452e+14	89
1.35451e+14	91
1.36451e+14	115
1.3745e+14	108
1.3845e+14	111
1.3945e+14	98
1.40449e+14	102
1.41449e+14	105
1.42449e+14	96
1.43448e+14	125
1.44448e+14	106
1.45448e+14	99
1.46447e+14	105
1.47447e+14	111
1.48446e+14	120
1.49446e+14	116
1.50446e+14	88
1.51445e+14	99
1.52445e+14	111
1.53445e+14	93
1.54444e+14	92
1.55444e+14	102
1.56444e+14	96
1.57443e+14	99
1.58443e+14	117
1.59442e+14	108
1.60442e+14	88
1.61442e+14	90
1.62441e+14	109
1.63441e+14	106
1.64441e+14	112
1.6544e+14	90
1.6644e+14	114
1.6744e+14	106
1.68439e+14	91
1.69439e+14	91
1.70439e+14	93
1.71438e+14	93
1.72438e+14	103
1.73437e+14	109
1.74437e+14	98
1.75437e+14	93
1.76436e+14	116
1.77436e+14	112
1.78436e+14	107
1.79435e+14	120
1.80435e+14	101
1.81435e+14	100
1.82434e+14	102
1.83434e+14	96
1.84433e+14	105
1.85433e+14	118
1.86433e+14	108
1.87432e+14	115
1.88432e+14	99
1.89432e+14	107
1.90431e+14	78
1.91431e+14	115
1.92431e+14	108
1.9343e+14	132
1.9443e+14	102
1.9543e+14	102
1.96429e+14	99
1.97429e+14	89
1.98428e+14	119
1.99428e+14	105
2.00428e+14	86
2.01427e+14	93
2.02427e+14	98
2.03427e+14	66
2.04426e+14	126
2.05426e+14	117
2.06426e+14	113
2.07425e+14	108
2.08425e+14	110
2.09424e+14	99
2.10424e+14	104
2.11424e+14	112
2.12423e+14	92
2.13423e+14	103
2.14423e+14	98
2.15422e+14	99
2.16422e+14	112
2.17422e+14	97
2.18421e+14	99
2.19421e+14	114
2.2042e+14	108
2.2142e+14	102
2.2242e+14	94
2.23419e+14	102
2.24419e+14	109
2.25419e+14	96
2.26418e+14	102
2.27418e+14	120
2.28418e+14	98
2.29417e+14	105
2.30417e+14	86
2.31417e+14	92
2.32416e+14	95
2.33416e+14	91
2.34415e+14	106
2.35415e+14	97
2.36415e+14	92
2.37414e+14	100
2.38414e+14	107
2.39414e+14	104
2.40413e+14	106
2.41413e+14	94
2.42413e+14	120
2.43412e+14	115
2.44412e+14	115
2.45411e+14	107
2.46411e+14	93
2.47411e+14	94
2.4841e+14	115
2.4941e+14	113
2.5041e+14	96
2.51409e+14	98
2.52409e+14	108
2.53409e+14	95
2.54408e+14	89
2.55408e+14	104
2.56408e+14	89
2.57407e+14	97
2.58407e+14	111
2.59406e+14	116
2.60406e+14	99
2.61406e+14	95
2.62405e+14	98
2.63405e+14	111
2.64405e+14	103
2.65404e+14	105
2.66404e+14	74
2.67404e+14	102
2.68403e+14	102
2.69403e+14	110
2.70402e+14	71
2.71402e+14	109
2.72402e+14	107
2.73401e+14	92
2.74401e+14	100
2.75401e+14	100
2.764e+14	107
2.774e+14	107
2.784e+14	115
2.79399e+14	88
2.80399e+14	113
2.81398e+14	107
2.82398e+14	112
2.83398e+14	105
2.84397e+14	103
2.85397e+14	106
2.86397e+14	97
2.87396e+14	106
2.88396e+14	94
2.89396e+14	92
2.90395e+14	106
2.91395e+14	124
2.92395e+14	111
2.93394e+14	104
2.94394e+14	128
2.95393e+14	90
2.96393e+14	117
2.97393e+14	114
2.98392e+14	96
2.99392e+14	106
3.00392e+14	109
3.01391e+14	114
3.02391e+14	108
3.03391e+14	102
3.0439e+14	105
3.0539e+14	77
3.06389e+14	98
3.07389e+14	102
3.08389e+14	108
3.09388e+14	118
3.10388e+14	91
3.11388e+14	87
3.12387e+14	91
3.13387e+14	87
3.14387e+14	108
3.15386e+14	109
3.16386e+14	132
3.17386e+14	105
3.18385e+14	116
3.19385e+14	106
3.20384e+14	101
3.21384e+14	100
3.22384e+14	96
3.23383e+14	104
3.24383e+14	85
3.25383e+14	96
3.26382e+14	111
3.27382e+14	112
3.28382e+14	100
3.29381e+14	103
3.30381e+14	102
3.3138e+14	89
3.3238e+14	88
3.3338e+14	113
3.34379e+14	97
3.35379e+14	117
3.36379e+14	105
3.37378e+14	96
3.38378e+14	108
3.39378e+14	103
3.40377e+14	84
3.41377e+14	101
3.42377e+14	116
3.43376e+14	103
3.44376e+14	102
3.45375e+14	93
3.46375e+14	110
3.47375e+14	99
3.48374e+14	107
3.49374e+14	91
3.50374e+14	102
3.51373e+14	85
3.52373e+14	102
3.53373e+14	79
3.54372e+14	95
3.55372e+14	120
3.56371e+14	128
3.57371e+14	88
3.58371e+14	101
3.5937e+14	95
3.6037e+14	127
3.6137e+14	84
3.62369e+14	102
3.63369e+14	111
3.64369e+14	115
3.65368e+14	111
3.66368e+14	89
3.67367e+14	103
3.68367e+14	110
3.69367e+14	114
3.70366e+14	96
3.71366e+14	121
3.72366e+14	94
3.73365e+14	92
3.74365e+14	100
3.75365e+14	109
3.76364e+14	123
3.77364e+14	124
3.78363e+14	121
3.79363e+14	114
3.80363e+14	83
3.81362e+14	123
3.82362e+14	93
3.83362e+14	93
