Time [ns]	Counts
-1995	0
-1985	0
-1975	0
-1965	2
-1955	0
-1945	0
-1935	0
-1925	0
-1915	1
-1905	1
-1895	1
-1885	0
-1875	2
-1865	1
-1855	1
-1845	2
-1835	1
-1825	0
-1815	0
-1805	1
-1795	0
-1785	3
-1775	0
-1765	2
-1755	0
-1745	2
-1735	0
-1725	0
-1715	0
-1705	0
-1695	1
-1685	1
-1675	2
-1665	2
-1655	0
-1645	0
-1635	0
-1625	0
-1615	0
-1605	0
-1595	2
-1585	1
-1575	2
-1565	2
-1555	0
-1545	1
-1535	1
-1525	0
-1515	0
-1505	1
-1495	0
-1485	0
-1475	0
-1465	1
-1455	1
-1445	0
-1435	0
-1425	1
-1415	2
-1405	1
-1395	0
-1385	1
-1375	1
-1365	1
-1355	2
-1345	1
-1335	0
-1325	0
-1315	0
-1305	1
-1295	0
-1285	0
-1275	2
-1265	0
-1255	0
-1245	1
-1235	1
-1225	3
-1215	1
-1205	0
-1195	1
-1185	0
-1175	2
-1165	0
-1155	0
-1145	1
-1135	0
-1125	0
-1115	2
-1105	1
-1095	0
-1085	0
-1075	1
-1065	0
-1055	1
-1045	0
-1035	1
-1025	0
-1015	0
-1005	1
-995	0
-985	1
-975	0
-965	0
-955	1
-945	1
-935	1
-925	0
-915	1
-905	0
-895	1
-885	1
-875	0
-865	1
-855	0
-845	0
-835	0
-825	0
-815	0
-805	1
-795	1
-785	0
-775	2
-765	0
-755	2
-745	0
-735	0
-725	1
-715	0
-705	1
-695	1
-685	2
-675	0
-665	2
-655	0
-645	2
-635	1
-625	1
-615	1
-605	1
-595	2
-585	0
-575	1
-565	0
-555	1
-545	2
-535	1
-525	0
-515	0
-505	0
-495	0
-485	0
-475	1
-465	0
-455	1
-445	3
-435	1
-425	0
-415	1
-405	0
-395	1
-385	0
-375	1
-365	0
-355	0
-345	0
-335	0
-325	2
-315	1
-305	0
-295	0
-285	0
-275	0
-265	1
-255	0
-245	2
-235	0
-225	0
-215	0
-205	1
-195	0
-185	0
-175	1
-165	0
-155	1
-145	0
-135	0
-125	2
-115	0
-105	1
-95	0
-85	0
-75	1
-65	0
-55	0
-45	0
-35	1
-25	6
-15	141
-5	452
5	7
15	0
25	0
35	0
45	1
55	0
65	2
75	1
85	0
95	0
105	0
115	0
125	1
135	0
145	0
155	0
165	1
175	1
185	1
195	0
205	0
215	1
225	3
235	0
245	1
255	0
265	1
275	1
285	2
295	1
305	1
315	1
325	1
335	1
345	1
355	0
365	1
375	1
385	1
395	0
405	2
415	0
425	0
435	1
445	0
455	1
465	1
475	1
485	0
495	1
505	1
515	0
525	0
535	1
545	1
555	1
565	0
575	0
585	1
595	0
605	0
615	0
625	0
635	2
645	0
655	0
665	0
675	1
685	0
695	2
705	0
715	0
725	0
735	0
745	1
755	0
765	1
775	1
785	0
795	1
805	0
815	0
825	0
835	2
845	1
855	0
865	0
875	2
885	2
895	0
905	1
915	0
925	0
935	1
945	0
955	2
965	1
975	0
985	0
995	0
1005	0
1015	0
1025	1
1035	0
1045	3
1055	1
1065	0
1075	0
1085	2
1095	1
1105	0
1115	0
1125	0
1135	0
1145	2
1155	0
1165	1
1175	0
1185	1
1195	0
1205	0
1215	0
1225	0
1235	0
1245	1
1255	2
1265	1
1275	1
1285	1
1295	2
1305	1
1315	0
1325	0
1335	1
1345	0
1355	2
1365	1
1375	0
1385	0
1395	1
1405	0
1415	0
1425	1
1435	0
1445	0
1455	1
1465	1
1475	0
1485	0
1495	1
1505	0
1515	0
1525	1
1535	0
1545	0
1555	0
1565	1
1575	0
1585	2
1595	0
1605	0
1615	3
1625	0
1635	0
1645	0
1655	1
1665	0
1675	0
1685	1
1695	0
1705	0
1715	2
1725	0
1735	0
1745	0
1755	1
1765	0
1775	0
1785	0
1795	1
1805	0
1815	0
1825	0
1835	0
1845	2
1855	0
1865	0
1875	0
1885	1
1895	2
1905	0
1915	0
1925	0
1935	1
1945	1
1955	0
1965	0
1975	1
1985	0
1995	1
