Channel	Counts
0.499969	26
1.49991	0
2.49985	0
3.49979	0
4.49973	0
5.49966	0
6.4996	0
7.49954	0
8.49948	0
9.49942	0
10.4994	0
11.4993	0
12.4992	0
13.4992	0
14.4991	0
15.4991	0
16.499	0
17.4989	0
18.4989	0
19.4988	0
20.4987	0
21.4987	0
22.4986	0
23.4986	0
24.4985	0
25.4984	0
26.4984	0
27.4983	0
28.4983	0
29.4982	0
30.4981	0
31.4981	0
32.498	0
33.498	0
34.4979	0
35.4978	0
36.4978	0
37.4977	0
38.4977	0
39.4976	0
40.4975	0
41.4975	1
42.4974	0
43.4973	0
44.4973	0
45.4972	0
46.4972	0
47.4971	0
48.497	0
49.497	0
50.4969	0
51.4969	1
52.4968	0
53.4967	0
54.4967	0
55.4966	1
56.4966	0
57.4965	0
58.4964	0
59.4964	0
60.4963	0
61.4962	0
62.4962	0
63.4961	0
64.4961	0
65.496	0
66.4959	0
67.4959	0
68.4958	0
69.4958	0
70.4957	0
71.4956	0
72.4956	0
73.4955	0
74.4955	0
75.4954	0
76.4953	1
77.4953	1
78.4952	0
79.4951	0
80.4951	0
81.495	0
82.495	0
83.4949	0
84.4948	0
85.4948	0
86.4947	0
87.4947	0
88.4946	0
89.4945	0
90.4945	0
91.4944	0
92.4944	1
93.4943	1
94.4942	0
95.4942	0
96.4941	0
97.494	0
98.494	0
99.4939	0
100.494	0
101.494	0
102.494	0
103.494	0
104.494	1
105.494	1
106.493	1
107.493	1
108.493	1
109.493	0
110.493	1
111.493	1
112.493	3
113.493	1
114.493	1
115.493	3
116.493	2
117.493	4
118.493	5
119.493	2
120.493	3
121.493	2
122.493	5
123.492	2
124.492	2
125.492	2
126.492	6
127.492	6
128.492	1
129.492	6
130.492	13
131.492	5
132.492	10
133.492	15
134.492	19
135.492	8
136.492	24
137.492	24
138.492	22
139.491	21
140.491	29
141.491	21
142.491	28
143.491	46
144.491	34
145.491	56
146.491	39
147.491	41
148.491	60
149.491	53
150.491	67
151.491	48
152.491	62
153.491	92
154.491	84
155.491	90
156.49	80
157.49	87
158.49	80
159.49	100
160.49	87
161.49	111
162.49	105
163.49	93
164.49	108
165.49	104
166.49	128
167.49	128
168.49	98
169.49	118
170.49	112
171.49	112
172.489	115
173.489	120
174.489	125
175.489	123
176.489	139
177.489	107
178.489	119
179.489	128
180.489	141
181.489	110
182.489	113
183.489	111
184.489	114
185.489	110
186.489	105
187.489	115
188.488	88
189.488	103
190.488	97
191.488	86
192.488	100
193.488	108
194.488	98
195.488	97
196.488	91
197.488	124
198.488	81
199.488	105
200.488	87
201.488	83
202.488	74
203.488	79
204.488	85
205.487	82
206.487	67
207.487	77
208.487	62
209.487	75
210.487	74
211.487	71
212.487	58
213.487	62
214.487	54
215.487	69
216.487	60
217.487	58
218.487	53
219.487	50
220.487	48
221.486	55
222.486	50
223.486	49
224.486	48
225.486	66
226.486	50
227.486	55
228.486	48
229.486	60
230.486	62
231.486	65
232.486	63
233.486	56
234.486	49
235.486	52
236.486	50
237.486	62
238.485	35
239.485	48
240.485	50
241.485	54
242.485	51
243.485	62
244.485	56
245.485	47
246.485	50
247.485	51
248.485	42
249.485	52
250.485	60
251.485	64
252.485	68
253.485	64
254.484	55
255.484	50
256.484	63
257.484	57
258.484	62
259.484	48
260.484	52
261.484	60
262.484	61
263.484	56
264.484	56
265.484	49
266.484	62
267.484	63
268.484	71
269.484	50
270.483	51
271.483	51
272.483	60
273.483	69
274.483	59
275.483	72
276.483	62
277.483	65
278.483	67
279.483	60
280.483	55
281.483	69
282.483	65
283.483	59
284.483	58
285.483	71
286.483	59
287.482	71
288.482	74
289.482	89
290.482	79
291.482	68
292.482	68
293.482	65
294.482	60
295.482	61
296.482	65
297.482	65
298.482	64
299.482	82
300.482	57
301.482	76
302.482	65
303.481	76
304.481	85
305.481	61
306.481	52
307.481	71
308.481	87
309.481	71
310.481	75
311.481	73
312.481	89
313.481	81
314.481	90
315.481	68
316.481	94
317.481	65
318.481	69
319.48	83
320.48	77
321.48	78
322.48	72
323.48	71
324.48	87
325.48	68
326.48	81
327.48	92
328.48	82
329.48	100
330.48	97
331.48	79
332.48	85
333.48	86
334.48	82
335.48	83
336.479	76
337.479	85
338.479	71
339.479	65
340.479	71
341.479	72
342.479	94
343.479	98
344.479	92
345.479	89
346.479	100
347.479	75
348.479	102
349.479	86
350.479	75
351.479	84
352.478	85
353.478	94
354.478	104
355.478	89
356.478	101
357.478	90
358.478	74
359.478	98
360.478	106
361.478	109
362.478	100
363.478	82
364.478	100
365.478	90
366.478	88
367.478	119
368.478	93
369.477	106
370.477	94
371.477	85
372.477	89
373.477	88
374.477	102
375.477	112
376.477	105
377.477	77
378.477	78
379.477	98
380.477	80
381.477	102
382.477	108
383.477	94
384.477	97
385.476	87
386.476	100
387.476	98
388.476	100
389.476	90
390.476	86
391.476	94
392.476	88
393.476	107
394.476	94
395.476	101
396.476	89
397.476	94
398.476	91
399.476	85
400.476	98
401.475	97
402.475	100
403.475	90
404.475	129
405.475	101
406.475	105
407.475	116
408.475	103
409.475	99
410.475	103
411.475	89
412.475	91
413.475	98
414.475	86
415.475	103
416.475	117
417.475	108
418.474	110
419.474	94
420.474	107
421.474	87
422.474	80
423.474	118
424.474	95
425.474	107
426.474	98
427.474	95
428.474	90
429.474	92
430.474	118
431.474	114
432.474	96
433.474	96
434.473	106
435.473	104
436.473	106
437.473	105
438.473	90
439.473	100
440.473	110
441.473	99
442.473	107
443.473	106
444.473	110
445.473	109
446.473	95
447.473	98
448.473	105
449.473	101
450.473	93
451.472	98
452.472	103
453.472	101
454.472	105
455.472	106
456.472	103
457.472	121
458.472	103
459.472	114
460.472	116
461.472	108
462.472	100
463.472	111
464.472	111
465.472	101
466.472	119
467.471	101
468.471	104
469.471	101
470.471	111
471.471	103
472.471	103
473.471	116
474.471	107
475.471	101
476.471	84
477.471	105
478.471	104
479.471	124
480.471	114
481.471	109
482.471	103
483.47	114
484.47	105
485.47	110
486.47	113
487.47	88
488.47	116
489.47	98
490.47	98
491.47	104
492.47	95
493.47	100
494.47	113
495.47	126
496.47	101
497.47	106
498.47	100
499.47	96
500.469	95
501.469	108
502.469	113
503.469	106
504.469	120
505.469	124
506.469	106
507.469	107
508.469	110
509.469	107
510.469	95
511.469	77
512.469	109
513.469	104
514.469	93
515.469	119
516.469	108
517.468	106
518.468	109
519.468	93
520.468	103
521.468	113
522.468	101
523.468	119
524.468	103
525.468	105
526.468	101
527.468	89
528.468	107
529.468	105
530.468	119
531.468	110
532.468	103
533.467	99
534.467	99
535.467	98
536.467	108
537.467	115
538.467	106
539.467	113
540.467	111
541.467	105
542.467	95
543.467	93
544.467	110
545.467	116
546.467	105
547.467	106
548.467	116
549.466	100
550.466	107
551.466	124
552.466	123
553.466	109
554.466	114
555.466	115
556.466	115
557.466	82
558.466	110
559.466	137
560.466	125
561.466	106
562.466	85
563.466	104
564.466	87
565.466	87
566.465	99
567.465	101
568.465	116
569.465	99
570.465	121
571.465	108
572.465	108
573.465	111
574.465	116
575.465	112
576.465	121
577.465	101
578.465	114
579.465	94
580.465	99
581.465	126
582.464	97
583.464	112
584.464	112
585.464	109
586.464	109
587.464	117
588.464	120
589.464	105
590.464	119
591.464	102
592.464	124
593.464	116
594.464	99
595.464	105
596.464	118
597.464	87
598.464	111
599.463	110
600.463	114
601.463	100
602.463	110
603.463	105
604.463	98
605.463	108
606.463	112
607.463	111
608.463	93
609.463	112
610.463	113
611.463	107
612.463	104
613.463	111
614.463	96
615.462	120
616.462	96
617.462	104
618.462	103
619.462	104
620.462	110
621.462	94
622.462	108
623.462	98
624.462	92
625.462	98
626.462	92
627.462	101
628.462	97
629.462	109
630.462	102
631.461	105
632.461	105
633.461	120
634.461	106
635.461	97
636.461	93
637.461	95
638.461	87
639.461	100
640.461	107
641.461	100
642.461	103
643.461	101
644.461	85
645.461	96
646.461	118
647.461	116
648.46	118
649.46	98
650.46	91
651.46	101
652.46	96
653.46	96
654.46	94
655.46	129
656.46	97
657.46	107
658.46	100
659.46	95
660.46	117
661.46	98
662.46	118
663.46	102
664.459	92
665.459	108
666.459	90
667.459	90
668.459	99
669.459	105
670.459	84
671.459	100
672.459	99
673.459	108
674.459	92
675.459	104
676.459	100
677.459	95
678.459	109
679.459	98
680.458	101
681.458	101
682.458	104
683.458	91
684.458	113
685.458	110
686.458	112
687.458	93
688.458	113
689.458	98
690.458	99
691.458	102
692.458	115
693.458	103
694.458	90
695.458	72
696.458	85
697.457	92
698.457	98
699.457	88
700.457	114
701.457	99
702.457	100
703.457	110
704.457	106
705.457	97
706.457	115
707.457	101
708.457	92
709.457	82
710.457	102
711.457	102
712.457	117
713.456	97
714.456	88
715.456	92
716.456	113
717.456	94
718.456	129
719.456	92
720.456	92
721.456	88
722.456	110
723.456	91
724.456	103
725.456	90
726.456	87
727.456	88
728.456	111
729.456	97
730.455	95
731.455	100
732.455	104
733.455	84
734.455	78
735.455	83
736.455	92
737.455	74
738.455	87
739.455	89
740.455	97
741.455	94
742.455	88
743.455	89
744.455	95
745.455	86
746.454	101
747.454	99
748.454	102
749.454	83
750.454	74
751.454	86
752.454	106
753.454	101
754.454	80
755.454	102
756.454	116
757.454	92
758.454	103
759.454	90
760.454	85
761.454	87
762.453	66
763.453	83
764.453	84
765.453	100
766.453	111
767.453	84
768.453	104
769.453	89
770.453	100
771.453	90
772.453	107
773.453	76
774.453	121
775.453	103
776.453	100
777.453	108
778.453	96
779.452	84
780.452	103
781.452	105
782.452	91
783.452	95
784.452	108
785.452	84
786.452	91
787.452	93
788.452	101
789.452	85
790.452	98
791.452	91
792.452	99
793.452	74
794.452	79
795.451	91
796.451	83
797.451	86
798.451	105
799.451	77
800.451	80
801.451	77
802.451	89
803.451	106
804.451	94
805.451	101
806.451	79
807.451	93
808.451	98
809.451	91
810.451	82
811.451	68
812.45	99
813.45	86
814.45	91
815.45	96
816.45	108
817.45	97
818.45	99
819.45	103
820.45	80
821.45	79
822.45	105
823.45	85
824.45	80
825.45	91
826.45	79
827.45	75
828.449	100
829.449	102
830.449	81
831.449	99
832.449	100
833.449	88
834.449	99
835.449	97
836.449	100
837.449	68
838.449	92
839.449	99
840.449	100
841.449	87
842.449	106
843.449	96
844.448	76
845.448	80
846.448	64
847.448	86
848.448	85
849.448	80
850.448	79
851.448	103
852.448	79
853.448	95
854.448	95
855.448	82
856.448	99
857.448	88
858.448	88
859.448	67
860.448	88
861.447	77
862.447	84
863.447	71
864.447	90
865.447	98
866.447	89
867.447	88
868.447	90
869.447	80
870.447	89
871.447	82
872.447	80
873.447	82
874.447	87
875.447	103
876.447	86
877.446	108
878.446	87
879.446	106
880.446	82
881.446	90
882.446	88
883.446	87
884.446	82
885.446	86
886.446	90
887.446	101
888.446	83
889.446	79
890.446	89
891.446	80
892.446	79
893.445	73
894.445	95
895.445	80
896.445	88
897.445	91
898.445	82
899.445	86
900.445	77
901.445	82
902.445	84
903.445	98
904.445	103
905.445	86
906.445	100
907.445	89
908.445	99
909.445	90
910.444	94
911.444	82
912.444	78
913.444	92
914.444	97
915.444	92
916.444	78
917.444	93
918.444	106
919.444	97
920.444	92
921.444	101
922.444	112
923.444	93
924.444	97
925.444	92
926.443	97
927.443	92
928.443	96
929.443	84
930.443	93
931.443	93
932.443	91
933.443	113
934.443	99
935.443	106
936.443	110
937.443	101
938.443	81
939.443	97
940.443	103
941.443	85
942.443	95
943.442	78
944.442	99
945.442	93
946.442	98
947.442	90
948.442	87
949.442	114
950.442	133
951.442	84
952.442	93
953.442	106
954.442	89
955.442	96
956.442	91
957.442	111
958.442	117
959.441	80
960.441	107
961.441	97
962.441	84
963.441	127
964.441	87
965.441	106
966.441	103
967.441	100
968.441	92
969.441	95
970.441	91
971.441	94
972.441	95
973.441	114
974.441	101
975.44	90
976.44	92
977.44	115
978.44	122
979.44	83
980.44	97
981.44	93
982.44	109
983.44	96
984.44	87
985.44	104
986.44	112
987.44	106
988.44	92
989.44	93
990.44	110
991.44	94
992.439	105
993.439	96
994.439	90
995.439	88
996.439	103
997.439	99
998.439	89
999.439	80
1000.44	112
1001.44	97
1002.44	113
1003.44	106
1004.44	102
1005.44	91
1006.44	101
1007.44	87
1008.44	101
1009.44	101
1010.44	97
1011.44	104
1012.44	105
1013.44	106
1014.44	101
1015.44	94
1016.44	99
1017.44	98
1018.44	105
1019.44	103
1020.44	100
1021.44	95
1022.44	91
1023.44	91
1024.44	99
1025.44	106
1026.44	95
1027.44	102
1028.44	115
1029.44	110
1030.44	84
1031.44	92
1032.44	102
1033.44	85
1034.44	88
1035.44	115
1036.44	102
1037.44	97
1038.44	102
1039.44	102
1040.44	93
1041.44	86
1042.44	96
1043.44	85
1044.44	95
1045.44	87
1046.44	79
1047.44	106
1048.44	81
1049.44	86
1050.44	100
1051.44	94
1052.44	91
1053.44	92
1054.44	109
1055.44	99
1056.44	99
1057.44	86
1058.44	88
1059.44	94
1060.44	100
1061.44	93
1062.44	96
1063.44	90
1064.44	79
1065.43	95
1066.43	101
1067.43	91
1068.43	85
1069.43	74
1070.43	86
1071.43	94
1072.43	101
1073.43	100
1074.43	81
1075.43	88
1076.43	88
1077.43	90
1078.43	92
1079.43	103
1080.43	102
1081.43	82
1082.43	95
1083.43	102
1084.43	96
1085.43	93
1086.43	79
1087.43	95
1088.43	94
1089.43	65
1090.43	75
1091.43	83
1092.43	94
1093.43	77
1094.43	74
1095.43	95
1096.43	84
1097.43	93
1098.43	84
1099.43	76
1100.43	108
1101.43	78
1102.43	70
1103.43	72
1104.43	98
1105.43	81
1106.43	90
1107.43	98
1108.43	74
1109.43	88
1110.43	73
1111.43	92
1112.43	101
1113.43	87
1114.43	75
1115.43	87
1116.43	77
1117.43	70
1118.43	96
1119.43	80
1120.43	94
1121.43	64
1122.43	86
1123.43	74
1124.43	80
1125.43	92
1126.43	86
1127.43	78
1128.43	90
1129.43	97
1130.43	85
1131.43	66
1132.43	94
1133.43	73
1134.43	82
1135.43	71
1136.43	63
1137.43	76
1138.43	62
1139.43	88
1140.43	87
1141.43	80
1142.43	73
1143.43	68
1144.43	78
1145.43	83
1146.43	91
1147.43	74
1148.43	78
1149.43	85
1150.43	65
1151.43	80
1152.43	95
1153.43	86
1154.43	93
1155.43	80
1156.43	88
1157.43	74
1158.43	100
1159.43	71
1160.43	99
1161.43	76
1162.43	68
1163.43	75
1164.43	53
1165.43	80
1166.43	90
1167.43	74
1168.43	86
1169.43	68
1170.43	75
1171.43	92
1172.43	65
1173.43	70
1174.43	70
1175.43	85
1176.43	76
1177.43	73
1178.43	90
1179.43	77
1180.43	61
1181.43	69
1182.43	86
1183.43	78
1184.43	70
1185.43	62
1186.43	71
1187.43	83
1188.43	70
1189.43	81
1190.43	79
1191.43	76
1192.43	75
1193.43	73
1194.43	76
1195.43	86
1196.43	74
1197.43	79
1198.43	69
1199.43	74
1200.43	80
1201.43	73
1202.43	91
1203.43	67
1204.43	82
1205.43	77
1206.43	63
1207.43	72
1208.43	70
1209.43	76
1210.43	73
1211.43	77
1212.43	81
1213.43	91
1214.43	93
1215.43	72
1216.43	71
1217.43	63
1218.43	74
1219.43	79
1220.43	78
1221.43	67
1222.43	78
1223.43	77
1224.43	80
1225.43	74
1226.43	72
1227.43	74
1228.43	63
1229.42	85
1230.42	89
1231.42	77
1232.42	57
1233.42	79
1234.42	62
1235.42	78
1236.42	88
1237.42	71
1238.42	68
1239.42	66
1240.42	77
1241.42	75
1242.42	55
1243.42	66
1244.42	63
1245.42	67
1246.42	69
1247.42	74
1248.42	70
1249.42	78
1250.42	67
1251.42	70
1252.42	83
1253.42	80
1254.42	68
1255.42	73
1256.42	91
1257.42	59
1258.42	72
1259.42	77
1260.42	69
1261.42	67
1262.42	69
1263.42	72
1264.42	79
1265.42	57
1266.42	68
1267.42	66
1268.42	75
1269.42	71
1270.42	67
1271.42	79
1272.42	62
1273.42	61
1274.42	56
1275.42	62
1276.42	75
1277.42	68
1278.42	79
1279.42	64
1280.42	64
1281.42	78
1282.42	74
1283.42	65
1284.42	73
1285.42	61
1286.42	67
1287.42	62
1288.42	70
1289.42	60
1290.42	63
1291.42	63
1292.42	50
1293.42	70
1294.42	59
1295.42	76
1296.42	68
1297.42	60
1298.42	65
1299.42	66
1300.42	63
1301.42	67
1302.42	65
1303.42	75
1304.42	63
1305.42	72
1306.42	56
1307.42	72
1308.42	68
1309.42	68
1310.42	76
1311.42	47
1312.42	64
1313.42	64
1314.42	58
1315.42	67
1316.42	66
1317.42	52
1318.42	66
1319.42	59
1320.42	55
1321.42	60
1322.42	64
1323.42	59
1324.42	64
1325.42	63
1326.42	51
1327.42	69
1328.42	60
1329.42	77
1330.42	64
1331.42	68
1332.42	66
1333.42	53
1334.42	58
1335.42	66
1336.42	51
1337.42	66
1338.42	40
1339.42	50
1340.42	64
1341.42	57
1342.42	63
1343.42	67
1344.42	48
1345.42	67
1346.42	53
1347.42	65
1348.42	61
1349.42	53
1350.42	70
1351.42	56
1352.42	55
1353.42	57
1354.42	55
1355.42	64
1356.42	60
1357.42	73
1358.42	70
1359.42	46
1360.42	69
1361.42	58
1362.42	52
1363.42	58
1364.42	64
1365.42	54
1366.42	55
1367.42	66
1368.42	53
1369.42	55
1370.42	46
1371.42	49
1372.42	60
1373.42	72
1374.42	77
1375.42	56
1376.42	64
1377.42	48
1378.42	55
1379.42	47
1380.42	65
1381.42	57
1382.42	62
1383.42	59
1384.42	66
1385.42	67
1386.42	65
1387.42	72
1388.42	52
1389.42	48
1390.42	46
1391.42	60
1392.42	57
1393.41	68
1394.41	49
1395.41	56
1396.41	44
1397.41	46
1398.41	60
1399.41	55
1400.41	70
1401.41	55
1402.41	61
1403.41	52
1404.41	65
1405.41	64
1406.41	47
1407.41	49
1408.41	53
