Time [seconds]	Counts
4.99211e+11	443
1.49763e+12	431
2.49605e+12	427
3.49448e+12	455
4.4929e+12	428
5.49132e+12	446
6.48974e+12	485
7.48816e+12	435
8.48659e+12	420
9.48501e+12	433
1.04834e+13	459
1.14819e+13	397
1.24803e+13	410
1.34787e+13	417
1.44771e+13	437
1.54755e+13	421
1.6474e+13	382
1.74724e+13	449
1.84708e+13	450
1.94692e+13	385
2.04676e+13	425
2.14661e+13	444
2.24645e+13	459
2.34629e+13	391
2.44613e+13	407
2.54598e+13	425
2.64582e+13	444
2.74566e+13	416
2.8455e+13	430
2.94534e+13	448
3.04519e+13	442
3.14503e+13	440
3.24487e+13	442
3.34471e+13	406
3.44456e+13	432
3.5444e+13	465
3.64424e+13	466
3.74408e+13	459
3.84392e+13	456
3.94377e+13	480
4.04361e+13	435
4.14345e+13	440
4.24329e+13	461
4.34314e+13	469
4.44298e+13	441
4.54282e+13	460
4.64266e+13	437
4.7425e+13	440
4.84235e+13	441
4.94219e+13	432
5.04203e+13	471
5.14187e+13	445
5.24171e+13	442
5.34156e+13	441
5.4414e+13	417
5.54124e+13	451
5.64108e+13	449
5.74093e+13	471
5.84077e+13	473
5.94061e+13	442
6.04045e+13	437
6.14029e+13	462
6.24014e+13	427
6.33998e+13	454
6.43982e+13	433
6.53966e+13	469
6.63951e+13	444
6.73935e+13	464
6.83919e+13	469
6.93903e+13	431
7.03887e+13	435
7.13872e+13	471
7.23856e+13	473
7.3384e+13	447
7.43824e+13	450
7.53809e+13	440
7.63793e+13	429
7.73777e+13	494
7.83761e+13	460
7.93745e+13	424
8.0373e+13	463
8.13714e+13	436
8.23698e+13	499
8.33682e+13	479
8.43667e+13	489
8.53651e+13	422
8.63635e+13	458
8.73619e+13	477
8.83603e+13	448
8.93588e+13	443
9.03572e+13	484
9.13556e+13	449
9.2354e+13	445
9.33524e+13	486
9.43509e+13	434
9.53493e+13	452
9.63477e+13	460
9.73461e+13	433
9.83446e+13	454
9.9343e+13	470
1.00341e+14	478
1.0134e+14	480
1.02338e+14	470
1.03337e+14	447
1.04335e+14	414
1.05334e+14	477
1.06332e+14	453
1.0733e+14	427
1.08329e+14	431
1.09327e+14	421
1.10326e+14	419
1.11324e+14	498
1.12322e+14	419
1.13321e+14	425
1.14319e+14	450
1.15318e+14	448
1.16316e+14	437
1.17315e+14	460
1.18313e+14	462
1.19311e+14	453
1.2031e+14	407
1.21308e+14	488
1.22307e+14	445
1.23305e+14	456
1.24304e+14	432
1.25302e+14	433
1.263e+14	448
1.27299e+14	433
1.28297e+14	468
1.29296e+14	445
1.30294e+14	442
1.31292e+14	483
1.32291e+14	457
1.33289e+14	485
1.34288e+14	469
1.35286e+14	431
1.36285e+14	499
1.37283e+14	455
1.38281e+14	464
1.3928e+14	409
1.40278e+14	472
1.41277e+14	433
1.42275e+14	477
1.43274e+14	479
1.44272e+14	435
1.4527e+14	446
1.46269e+14	407
1.47267e+14	464
1.48266e+14	441
1.49264e+14	450
1.50263e+14	398
1.51261e+14	438
1.52259e+14	451
1.53258e+14	476
1.54256e+14	414
1.55255e+14	489
1.56253e+14	439
1.57251e+14	441
1.5825e+14	423
1.59248e+14	455
1.60247e+14	433
1.61245e+14	451
1.62244e+14	445
1.63242e+14	431
1.6424e+14	409
1.65239e+14	449
1.66237e+14	436
1.67236e+14	437
1.68234e+14	464
1.69233e+14	415
1.70231e+14	477
1.71229e+14	392
1.72228e+14	435
1.73226e+14	435
1.74225e+14	431
1.75223e+14	429
1.76221e+14	437
1.7722e+14	439
1.78218e+14	460
1.79217e+14	462
1.80215e+14	477
1.81214e+14	475
1.82212e+14	440
1.8321e+14	434
1.84209e+14	438
1.85207e+14	457
1.86206e+14	458
1.87204e+14	449
1.88203e+14	431
1.89201e+14	455
1.90199e+14	466
1.91198e+14	461
1.92196e+14	448
1.93195e+14	463
1.94193e+14	431
1.95191e+14	431
1.9619e+14	458
1.97188e+14	486
1.98187e+14	390
1.99185e+14	460
2.00184e+14	430
2.01182e+14	482
2.0218e+14	420
2.03179e+14	453
2.04177e+14	472
2.05176e+14	463
2.06174e+14	415
2.07173e+14	422
2.08171e+14	435
2.09169e+14	436
2.10168e+14	407
2.11166e+14	453
2.12165e+14	443
2.13163e+14	415
2.14161e+14	444
2.1516e+14	440
2.16158e+14	464
2.17157e+14	433
2.18155e+14	456
2.19154e+14	450
2.20152e+14	445
2.2115e+14	467
2.22149e+14	426
2.23147e+14	440
2.24146e+14	421
2.25144e+14	455
2.26143e+14	409
2.27141e+14	414
2.28139e+14	445
2.29138e+14	439
2.30136e+14	385
2.31135e+14	452
2.32133e+14	432
2.33132e+14	406
2.3413e+14	413
2.35128e+14	455
2.36127e+14	447
2.37125e+14	453
2.38124e+14	448
2.39122e+14	453
2.4012e+14	478
2.41119e+14	408
2.42117e+14	455
2.43116e+14	467
2.44114e+14	435
2.45113e+14	472
2.46111e+14	415
2.47109e+14	429
2.48108e+14	435
2.49106e+14	425
2.50105e+14	453
2.51103e+14	452
2.52102e+14	433
2.531e+14	454
2.54098e+14	456
2.55097e+14	474
2.56095e+14	420
2.57094e+14	432
2.58092e+14	428
2.5909e+14	461
2.60089e+14	452
2.61087e+14	435
2.62086e+14	452
2.63084e+14	432
2.64083e+14	401
2.65081e+14	443
2.66079e+14	449
2.67078e+14	424
2.68076e+14	448
2.69075e+14	413
2.70073e+14	454
2.71072e+14	420
2.7207e+14	487
2.73068e+14	396
2.74067e+14	439
2.75065e+14	436
2.76064e+14	459
2.77062e+14	451
2.7806e+14	430
2.79059e+14	462
2.80057e+14	464
2.81056e+14	462
2.82054e+14	438
2.83053e+14	429
2.84051e+14	452
2.85049e+14	457
2.86048e+14	480
2.87046e+14	460
2.88045e+14	473
2.89043e+14	428
2.90042e+14	444
2.9104e+14	443
2.92038e+14	426
2.93037e+14	455
2.94035e+14	426
2.95034e+14	444
2.96032e+14	439
2.97031e+14	448
2.98029e+14	457
2.99027e+14	454
3.00026e+14	400
3.01024e+14	402
3.02023e+14	413
3.03021e+14	435
3.04019e+14	435
3.05018e+14	456
3.06016e+14	423
3.07015e+14	404
3.08013e+14	441
3.09012e+14	408
3.1001e+14	429
3.11008e+14	435
3.12007e+14	418
3.13005e+14	435
3.14004e+14	432
3.15002e+14	467
3.16001e+14	442
3.16999e+14	416
3.17997e+14	427
3.18996e+14	428
3.19994e+14	433
3.20993e+14	451
3.21991e+14	435
3.22989e+14	478
3.23988e+14	406
3.24986e+14	441
3.25985e+14	447
3.26983e+14	437
3.27982e+14	450
3.2898e+14	453
3.29978e+14	418
3.30977e+14	455
3.31975e+14	441
3.32974e+14	459
3.33972e+14	460
3.34971e+14	440
3.35969e+14	439
3.36967e+14	434
3.37966e+14	478
3.38964e+14	414
3.39963e+14	411
3.40961e+14	430
3.41959e+14	409
3.42958e+14	421
3.43956e+14	442
3.44955e+14	474
3.45953e+14	426
3.46952e+14	472
3.4795e+14	492
3.48948e+14	487
3.49947e+14	483
3.50945e+14	421
3.51944e+14	455
3.52942e+14	409
3.53941e+14	408
3.54939e+14	449
3.55937e+14	492
3.56936e+14	419
3.57934e+14	459
3.58933e+14	380
3.59931e+14	454
3.6093e+14	466
3.61928e+14	454
3.62926e+14	428
3.63925e+14	458
3.64923e+14	459
3.65922e+14	452
3.6692e+14	462
3.67918e+14	429
3.68917e+14	418
3.69915e+14	461
3.70914e+14	476
3.71912e+14	420
3.72911e+14	446
3.73909e+14	459
3.74907e+14	459
3.75906e+14	472
3.76904e+14	455
3.77903e+14	433
3.78901e+14	427
3.799e+14	439
3.80898e+14	485
3.81896e+14	469
3.82895e+14	433
3.83893e+14	502
3.84892e+14	434
3.8589e+14	455
3.86888e+14	476
3.87887e+14	457
3.88885e+14	431
3.89884e+14	447
3.90882e+14	485
3.91881e+14	484
3.92879e+14	433
3.93877e+14	469
3.94876e+14	413
3.95874e+14	493
3.96873e+14	438
3.97871e+14	466
3.9887e+14	453
3.99868e+14	457
4.00866e+14	428
4.01865e+14	469
4.02863e+14	457
4.03862e+14	408
4.0486e+14	452
4.05859e+14	475
4.06857e+14	424
4.07855e+14	469
4.08854e+14	462
4.09852e+14	457
4.10851e+14	445
4.11849e+14	462
4.12847e+14	471
4.13846e+14	460
4.14844e+14	462
4.15843e+14	430
4.16841e+14	503
4.1784e+14	445
4.18838e+14	442
4.19836e+14	445
4.20835e+14	476
4.21833e+14	425
4.22832e+14	447
4.2383e+14	505
4.24829e+14	419
4.25827e+14	455
4.26825e+14	450
4.27824e+14	435
4.28822e+14	419
4.29821e+14	404
4.30819e+14	448
4.31817e+14	505
4.32816e+14	454
4.33814e+14	468
4.34813e+14	466
4.35811e+14	465
4.3681e+14	445
4.37808e+14	462
4.38806e+14	478
4.39805e+14	454
4.40803e+14	434
4.41802e+14	442
4.428e+14	453
4.43799e+14	454
4.44797e+14	474
4.45795e+14	424
4.46794e+14	469
4.47792e+14	455
4.48791e+14	448
4.49789e+14	421
4.50787e+14	455
4.51786e+14	468
4.52784e+14	464
4.53783e+14	506
4.54781e+14	460
4.5578e+14	462
4.56778e+14	420
4.57776e+14	472
4.58775e+14	436
4.59773e+14	462
4.60772e+14	430
