Time [ns]	Counts
-1995	14
-1985	10
-1975	8
-1965	10
-1955	15
-1945	13
-1935	13
-1925	13
-1915	10
-1905	5
-1895	14
-1885	10
-1875	5
-1865	15
-1855	16
-1845	16
-1835	15
-1825	13
-1815	13
-1805	9
-1795	15
-1785	6
-1775	12
-1765	14
-1755	14
-1745	10
-1735	15
-1725	17
-1715	14
-1705	17
-1695	10
-1685	6
-1675	15
-1665	10
-1655	8
-1645	12
-1635	12
-1625	18
-1615	13
-1605	16
-1595	17
-1585	13
-1575	9
-1565	11
-1555	16
-1545	13
-1535	13
-1525	13
-1515	11
-1505	11
-1495	7
-1485	5
-1475	12
-1465	12
-1455	11
-1445	9
-1435	11
-1425	11
-1415	19
-1405	13
-1395	11
-1385	6
-1375	16
-1365	15
-1355	9
-1345	11
-1335	17
-1325	16
-1315	23
-1305	22
-1295	14
-1285	13
-1275	11
-1265	10
-1255	8
-1245	13
-1235	15
-1225	12
-1215	10
-1205	10
-1195	11
-1185	11
-1175	7
-1165	9
-1155	9
-1145	19
-1135	14
-1125	11
-1115	16
-1105	11
-1095	11
-1085	14
-1075	7
-1065	9
-1055	11
-1045	6
-1035	7
-1025	8
-1015	9
-1005	13
-995	11
-985	15
-975	10
-965	17
-955	17
-945	9
-935	12
-925	11
-915	7
-905	12
-895	8
-885	20
-875	15
-865	12
-855	10
-845	13
-835	12
-825	15
-815	4
-805	12
-795	10
-785	11
-775	11
-765	14
-755	10
-745	8
-735	17
-725	10
-715	12
-705	12
-695	13
-685	9
-675	10
-665	8
-655	12
-645	15
-635	13
-625	12
-615	8
-605	12
-595	6
-585	10
-575	19
-565	11
-555	11
-545	15
-535	12
-525	12
-515	7
-505	7
-495	16
-485	11
-475	14
-465	5
-455	9
-445	10
-435	13
-425	10
-415	9
-405	16
-395	13
-385	10
-375	17
-365	16
-355	6
-345	9
-335	10
-325	7
-315	12
-305	11
-295	16
-285	7
-275	17
-265	17
-255	11
-245	9
-235	12
-225	16
-215	9
-205	11
-195	9
-185	12
-175	12
-165	12
-155	12
-145	21
-135	13
-125	13
-115	11
-105	9
-95	12
-85	14
-75	11
-65	14
-55	11
-45	11
-35	17
-25	141
-15	8214
-5	22867
5	1387
15	46
25	16
35	14
45	13
55	12
65	9
75	13
85	13
95	15
105	13
115	13
125	11
135	8
145	15
155	8
165	9
175	10
185	6
195	10
205	10
215	10
225	7
235	11
245	6
255	10
265	11
275	17
285	10
295	8
305	13
315	6
325	8
335	6
345	11
355	11
365	18
375	15
385	9
395	10
405	7
415	14
425	13
435	12
445	12
455	8
465	16
475	10
485	14
495	14
505	7
515	11
525	7
535	18
545	8
555	12
565	10
575	12
585	8
595	14
605	11
615	11
625	16
635	13
645	10
655	13
665	16
675	9
685	12
695	12
705	12
715	20
725	8
735	6
745	10
755	14
765	8
775	11
785	10
795	13
805	10
815	11
825	9
835	13
845	10
855	15
865	14
875	13
885	12
895	11
905	15
915	13
925	17
935	16
945	11
955	8
965	14
975	8
985	9
995	11
1005	7
1015	14
1025	11
1035	11
1045	11
1055	9
1065	14
1075	10
1085	9
1095	11
1105	14
1115	19
1125	14
1135	10
1145	10
1155	13
1165	8
1175	12
1185	15
1195	11
1205	12
1215	11
1225	7
1235	12
1245	6
1255	11
1265	13
1275	15
1285	12
1295	16
1305	10
1315	11
1325	12
1335	17
1345	9
1355	13
1365	9
1375	9
1385	7
1395	17
1405	11
1415	10
1425	13
1435	12
1445	20
1455	8
1465	10
1475	13
1485	18
1495	11
1505	10
1515	13
1525	14
1535	9
1545	14
1555	11
1565	13
1575	10
1585	14
1595	14
1605	6
1615	12
1625	19
1635	15
1645	8
1655	13
1665	13
1675	13
1685	10
1695	11
1705	12
1715	7
1725	11
1735	13
1745	12
1755	15
1765	10
1775	15
1785	7
1795	12
1805	11
1815	9
1825	11
1835	14
1845	13
1855	11
1865	9
1875	6
1885	9
1895	12
1905	10
1915	7
1925	14
1935	9
1945	10
1955	16
1965	10
1975	12
1985	11
1995	13
