Channel	Counts
0.499969	534
1.49991	2
2.49985	4
3.49979	2
4.49973	2
5.49966	2
6.4996	4
7.49954	4
8.49948	7
9.49942	6
10.4994	5
11.4993	5
12.4992	3
13.4992	2
14.4991	4
15.4991	4
16.499	0
17.4989	1
18.4989	5
19.4988	3
20.4987	5
21.4987	7
22.4986	5
23.4986	4
24.4985	5
25.4984	6
26.4984	5
27.4983	4
28.4983	5
29.4982	3
30.4981	7
31.4981	5
32.498	4
33.498	3
34.4979	5
35.4978	7
36.4978	2
37.4977	6
38.4977	1
39.4976	7
40.4975	3
41.4975	2
42.4974	1
43.4973	4
44.4973	2
45.4972	5
46.4972	4
47.4971	5
48.497	4
49.497	6
50.4969	3
51.4969	7
52.4968	5
53.4967	3
54.4967	3
55.4966	8
56.4966	4
57.4965	8
58.4964	7
59.4964	3
60.4963	3
61.4962	4
62.4962	7
63.4961	11
64.4961	12
65.496	5
66.4959	7
67.4959	10
68.4958	9
69.4958	7
70.4957	4
71.4956	9
72.4956	8
73.4955	3
74.4955	5
75.4954	11
76.4953	7
77.4953	8
78.4952	5
79.4951	6
80.4951	5
81.495	4
82.495	12
83.4949	9
84.4948	5
85.4948	9
86.4947	7
87.4947	7
88.4946	4
89.4945	7
90.4945	8
91.4944	10
92.4944	7
93.4943	4
94.4942	11
95.4942	6
96.4941	13
97.494	5
98.494	7
99.4939	13
100.494	17
101.494	11
102.494	13
103.494	10
104.494	12
105.494	18
106.493	14
107.493	14
108.493	13
109.493	18
110.493	13
111.493	16
112.493	15
113.493	21
114.493	23
115.493	14
116.493	15
117.493	15
118.493	31
119.493	30
120.493	32
121.493	30
122.493	48
123.492	44
124.492	57
125.492	44
126.492	50
127.492	65
128.492	68
129.492	66
130.492	96
131.492	90
132.492	123
133.492	176
134.492	147
135.492	170
136.492	197
137.492	237
138.492	272
139.491	292
140.491	326
141.491	367
142.491	388
143.491	447
144.491	508
145.491	583
146.491	654
147.491	702
148.491	764
149.491	864
150.491	929
