Time [seconds]	Counts
4.99919e+11	597
1.49976e+12	586
2.4996e+12	551
3.49944e+12	591
4.49927e+12	574
5.49911e+12	624
6.49895e+12	596
7.49879e+12	596
8.49863e+12	585
9.49847e+12	614
1.04983e+13	619
1.14981e+13	619
1.2498e+13	627
1.34978e+13	578
1.44977e+13	590
1.54975e+13	598
1.64973e+13	602
1.74972e+13	639
1.8497e+13	602
1.94969e+13	585
2.04967e+13	600
2.14965e+13	608
2.24964e+13	660
2.34962e+13	536
2.44961e+13	567
2.54959e+13	598
2.64957e+13	602
2.74956e+13	624
2.84954e+13	590
2.94952e+13	579
3.04951e+13	604
3.14949e+13	600
3.24948e+13	558
3.34946e+13	579
3.44944e+13	615
3.54943e+13	546
3.64941e+13	580
3.7494e+13	585
3.84938e+13	616
3.94936e+13	572
4.04935e+13	585
4.14933e+13	592
4.24932e+13	609
4.3493e+13	596
4.44928e+13	617
4.54927e+13	588
4.64925e+13	641
4.74923e+13	612
4.84922e+13	572
4.9492e+13	610
5.04919e+13	579
5.14917e+13	596
5.24915e+13	581
5.34914e+13	599
5.44912e+13	604
5.54911e+13	590
5.64909e+13	556
5.74907e+13	607
5.84906e+13	584
5.94904e+13	616
6.04903e+13	595
6.14901e+13	616
6.24899e+13	597
6.34898e+13	553
6.44896e+13	610
6.54895e+13	603
6.64893e+13	569
6.74891e+13	581
6.8489e+13	608
6.94888e+13	594
7.04886e+13	616
7.14885e+13	616
7.24883e+13	642
7.34882e+13	602
7.4488e+13	566
7.54878e+13	613
7.64877e+13	640
7.74875e+13	588
7.84874e+13	623
7.94872e+13	612
8.0487e+13	575
8.14869e+13	619
8.24867e+13	590
8.34865e+13	588
8.44864e+13	592
8.54862e+13	586
8.64861e+13	585
8.74859e+13	583
8.84857e+13	593
8.94856e+13	584
9.04854e+13	544
9.14853e+13	568
9.24851e+13	553
9.34849e+13	585
9.44848e+13	569
9.54846e+13	601
9.64845e+13	583
9.74843e+13	647
9.84841e+13	567
9.9484e+13	550
1.00484e+14	627
1.01484e+14	527
1.02483e+14	624
1.03483e+14	601
1.04483e+14	586
1.05483e+14	617
1.06483e+14	585
1.07483e+14	626
1.08483e+14	651
1.09482e+14	586
1.10482e+14	575
1.11482e+14	616
1.12482e+14	579
1.13482e+14	541
1.14482e+14	564
1.15481e+14	602
1.16481e+14	570
1.17481e+14	614
1.18481e+14	600
1.19481e+14	570
1.20481e+14	593
1.2148e+14	645
1.2248e+14	618
1.2348e+14	625
1.2448e+14	576
1.2548e+14	573
1.2648e+14	584
1.27479e+14	611
1.28479e+14	576
1.29479e+14	607
1.30479e+14	598
1.31479e+14	606
1.32479e+14	595
1.33478e+14	575
1.34478e+14	614
1.35478e+14	587
1.36478e+14	600
1.37478e+14	614
1.38478e+14	599
1.39478e+14	545
1.40477e+14	570
1.41477e+14	592
1.42477e+14	595
1.43477e+14	596
1.44477e+14	575
1.45477e+14	625
1.46476e+14	590
1.47476e+14	595
1.48476e+14	612
1.49476e+14	616
1.50476e+14	629
1.51476e+14	595
1.52475e+14	617
1.53475e+14	632
1.54475e+14	633
1.55475e+14	583
1.56475e+14	609
1.57475e+14	557
1.58474e+14	615
1.59474e+14	581
1.60474e+14	626
1.61474e+14	565
1.62474e+14	623
1.63474e+14	586
1.64474e+14	600
1.65473e+14	595
1.66473e+14	534
1.67473e+14	571
1.68473e+14	611
1.69473e+14	551
1.70473e+14	646
1.71472e+14	610
1.72472e+14	586
1.73472e+14	583
1.74472e+14	585
1.75472e+14	578
1.76472e+14	625
1.77471e+14	614
1.78471e+14	618
1.79471e+14	584
1.80471e+14	590
1.81471e+14	603
1.82471e+14	586
1.8347e+14	604
1.8447e+14	615
1.8547e+14	545
1.8647e+14	637
1.8747e+14	583
1.8847e+14	557
1.89469e+14	625
1.90469e+14	631
1.91469e+14	623
1.92469e+14	577
