Time [ns]	Counts
-1995	1
-1985	0
-1975	1
-1965	1
-1955	3
-1945	1
-1935	1
-1925	0
-1915	0
-1905	1
-1895	2
-1885	0
-1875	2
-1865	2
-1855	0
-1845	1
-1835	1
-1825	0
-1815	0
-1805	4
-1795	0
-1785	0
-1775	0
-1765	0
-1755	2
-1745	2
-1735	2
-1725	1
-1715	2
-1705	1
-1695	0
-1685	0
-1675	0
-1665	3
-1655	0
-1645	0
-1635	2
-1625	1
-1615	2
-1605	1
-1595	0
-1585	2
-1575	1
-1565	0
-1555	0
-1545	2
-1535	1
-1525	0
-1515	1
-1505	1
-1495	0
-1485	0
-1475	1
-1465	1
-1455	3
-1445	3
-1435	2
-1425	1
-1415	0
-1405	0
-1395	1
-1385	2
-1375	2
-1365	2
-1355	1
-1345	1
-1335	0
-1325	1
-1315	3
-1305	1
-1295	4
-1285	1
-1275	3
-1265	2
-1255	2
-1245	2
-1235	0
-1225	2
-1215	1
-1205	1
-1195	2
-1185	2
-1175	3
-1165	3
-1155	2
-1145	1
-1135	1
-1125	2
-1115	1
-1105	0
-1095	0
-1085	1
-1075	1
-1065	1
-1055	1
-1045	1
-1035	1
-1025	2
-1015	1
-1005	2
-995	0
-985	2
-975	0
-965	1
-955	2
-945	1
-935	3
-925	1
-915	2
-905	1
-895	1
-885	1
-875	0
-865	0
-855	0
-845	1
-835	0
-825	3
-815	0
-805	0
-795	1
-785	0
-775	2
-765	1
-755	3
-745	0
-735	1
-725	0
-715	1
-705	3
-695	1
-685	1
-675	2
-665	1
-655	1
-645	1
-635	1
-625	1
-615	2
-605	0
-595	1
-585	0
-575	0
-565	0
-555	0
-545	1
-535	2
-525	1
-515	0
-505	0
-495	1
-485	1
-475	0
-465	1
-455	1
-445	1
-435	2
-425	3
-415	1
-405	0
-395	2
-385	3
-375	2
-365	3
-355	1
-345	2
-335	0
-325	0
-315	2
-305	0
-295	1
-285	0
-275	0
-265	1
-255	3
-245	1
-235	2
-225	0
-215	3
-205	0
-195	1
-185	1
-175	2
-165	1
-155	2
-145	3
-135	2
-125	4
-115	2
-105	1
-95	2
-85	2
-75	0
-65	4
-55	3
-45	1
-35	3
-25	51
-15	10802
-5	37963
5	826
15	15
25	1
35	3
45	2
55	2
65	1
75	2
85	0
95	2
105	0
115	1
125	1
135	1
145	2
155	1
165	3
175	0
185	1
195	0
205	2
215	2
225	1
235	1
245	1
255	1
265	2
275	1
285	0
295	3
305	1
315	1
325	0
335	0
345	2
355	0
365	2
375	1
385	0
395	1
405	0
415	1
425	1
435	1
445	1
455	0
465	2
475	1
485	0
495	2
505	4
515	1
525	1
535	1
545	0
555	1
565	1
575	0
585	2
595	1
605	3
615	2
625	2
635	1
645	1
655	1
665	1
675	2
685	2
695	3
705	1
715	1
725	4
735	2
745	0
755	3
765	0
775	0
785	0
795	3
805	0
815	0
825	1
835	1
845	3
855	0
865	2
875	3
885	0
895	1
905	2
915	0
925	0
935	5
945	1
955	2
965	2
975	2
985	1
995	0
1005	1
1015	0
1025	2
1035	1
1045	0
1055	2
1065	0
1075	2
1085	2
1095	0
1105	0
1115	1
1125	1
1135	1
1145	0
1155	1
1165	1
1175	1
1185	1
1195	1
1205	1
1215	1
1225	1
1235	0
1245	1
1255	2
1265	2
1275	0
1285	1
1295	0
1305	3
1315	1
1325	4
1335	0
1345	1
1355	0
1365	2
1375	1
1385	2
1395	2
1405	2
1415	2
1425	3
1435	1
1445	2
1455	1
1465	0
1475	1
1485	2
1495	1
1505	0
1515	0
1525	1
1535	0
1545	0
1555	1
1565	0
1575	3
1585	1
1595	0
1605	0
1615	1
1625	1
1635	1
1645	1
1655	1
1665	0
1675	1
1685	3
1695	3
1705	0
1715	1
1725	3
1735	1
1745	1
1755	1
1765	1
1775	1
1785	0
1795	3
1805	0
1815	1
1825	0
1835	1
1845	0
1855	1
1865	4
1875	1
1885	2
1895	0
1905	2
1915	1
1925	0
1935	3
1945	2
1955	0
1965	0
1975	0
1985	2
1995	3
