Channel	Counts
0.499969	23
1.49991	0
2.49985	0
3.49979	0
4.49973	2
5.49966	1
6.4996	1
7.49954	0
8.49948	0
9.49942	0
10.4994	0
11.4993	0
12.4992	0
13.4992	0
14.4991	0
15.4991	0
16.499	0
17.4989	0
18.4989	1
19.4988	0
20.4987	0
21.4987	0
22.4986	0
23.4986	0
24.4985	0
25.4984	0
26.4984	0
27.4983	0
28.4983	0
29.4982	0
30.4981	0
31.4981	0
32.498	0
33.498	0
34.4979	0
35.4978	1
36.4978	0
37.4977	0
38.4977	0
39.4976	0
40.4975	0
41.4975	1
42.4974	0
43.4973	0
44.4973	0
45.4972	1
46.4972	0
47.4971	0
48.497	0
49.497	1
50.4969	0
51.4969	0
52.4968	0
53.4967	1
54.4967	0
55.4966	0
56.4966	0
57.4965	0
58.4964	1
59.4964	0
60.4963	2
61.4962	0
62.4962	0
63.4961	0
64.4961	0
65.496	1
66.4959	0
67.4959	0
68.4958	0
69.4958	0
70.4957	1
71.4956	2
72.4956	0
73.4955	0
74.4955	0
75.4954	0
76.4953	0
77.4953	1
78.4952	1
79.4951	0
80.4951	1
81.495	1
82.495	0
83.4949	0
84.4948	0
85.4948	1
86.4947	0
87.4947	0
88.4946	0
89.4945	1
90.4945	0
91.4944	0
92.4944	0
93.4943	0
94.4942	0
95.4942	2
96.4941	0
97.494	1
98.494	2
99.4939	0
100.494	0
101.494	1
102.494	0
103.494	1
104.494	0
105.494	2
106.493	0
107.493	4
108.493	1
109.493	1
110.493	0
111.493	0
112.493	1
113.493	1
114.493	2
115.493	0
116.493	0
117.493	0
118.493	0
119.493	2
120.493	3
121.493	2
122.493	3
123.492	2
124.492	2
125.492	3
126.492	5
127.492	4
128.492	4
129.492	2
130.492	6
131.492	2
132.492	9
133.492	7
134.492	10
135.492	16
136.492	19
137.492	7
138.492	7
139.491	17
140.491	12
141.491	17
142.491	13
143.491	20
144.491	26
145.491	22
146.491	28
147.491	15
148.491	33
149.491	26
150.491	31
151.491	36
152.491	26
153.491	34
154.491	38
155.491	36
156.49	51
157.49	49
158.49	47
159.49	48
160.49	51
161.49	64
162.49	52
163.49	71
164.49	61
165.49	67
166.49	79
167.49	84
168.49	71
169.49	78
170.49	76
171.49	81
172.489	72
173.489	93
174.489	98
175.489	115
176.489	104
177.489	120
178.489	127
179.489	108
180.489	112
181.489	135
182.489	106
183.489	113
184.489	120
185.489	141
186.489	135
187.489	126
188.488	136
189.488	130
190.488	125
191.488	131
192.488	101
193.488	135
194.488	134
195.488	131
196.488	116
197.488	140
198.488	127
199.488	137
200.488	137
201.488	123
202.488	137
203.488	140
204.488	133
205.487	138
206.487	122
207.487	131
208.487	132
209.487	122
210.487	133
211.487	128
212.487	139
213.487	125
214.487	127
215.487	129
216.487	143
217.487	118
218.487	128
219.487	104
220.487	129
221.486	127
222.486	122
223.486	103
224.486	121
225.486	107
226.486	109
227.486	112
228.486	124
229.486	123
230.486	103
231.486	120
232.486	135
233.486	117
234.486	109
235.486	122
236.486	100
237.486	125
238.485	112
239.485	113
240.485	131
241.485	142
242.485	131
243.485	121
244.485	114
245.485	125
246.485	118
247.485	136
248.485	122
249.485	131
250.485	133
251.485	102
252.485	131
253.485	146
254.484	105
255.484	114
256.484	131
257.484	125
258.484	130
259.484	119
260.484	135
261.484	110
262.484	130
263.484	118
264.484	140
265.484	125
266.484	141
267.484	141
268.484	133
269.484	131
270.483	144
271.483	132
272.483	150
273.483	113
274.483	155
275.483	126
276.483	133
277.483	125
