Time [seconds]	Counts
4.99821e+11	674
1.49946e+12	675
2.4991e+12	694
3.49875e+12	706
4.49839e+12	706
5.49803e+12	715
6.49767e+12	727
7.49731e+12	746
8.49696e+12	725
9.4966e+12	677
1.04962e+13	707
1.14959e+13	700
1.24955e+13	669
1.34952e+13	669
1.44948e+13	678
1.54944e+13	678
1.64941e+13	679
1.74937e+13	745
1.84934e+13	734
1.9493e+13	726
2.04927e+13	672
2.14923e+13	669
2.24919e+13	714
2.34916e+13	742
2.44912e+13	706
2.54909e+13	700
2.64905e+13	688
2.74902e+13	692
2.84898e+13	713
2.94894e+13	672
3.04891e+13	663
3.14887e+13	705
3.24884e+13	704
3.3488e+13	665
3.44876e+13	718
3.54873e+13	720
3.64869e+13	708
3.74866e+13	708
3.84862e+13	698
3.94859e+13	770
4.04855e+13	751
4.14851e+13	702
4.24848e+13	742
4.34844e+13	740
4.44841e+13	706
4.54837e+13	755
4.64833e+13	732
4.7483e+13	665
4.84826e+13	757
4.94823e+13	749
5.04819e+13	710
5.14816e+13	736
5.24812e+13	734
5.34808e+13	723
5.44805e+13	710
5.54801e+13	709
5.64798e+13	743
5.74794e+13	698
5.8479e+13	744
5.94787e+13	765
6.04783e+13	716
6.1478e+13	708
6.24776e+13	742
6.34773e+13	706
6.44769e+13	681
6.54765e+13	685
6.64762e+13	730
6.74758e+13	727
6.84755e+13	767
6.94751e+13	760
7.04748e+13	712
7.14744e+13	727
7.2474e+13	679
7.34737e+13	716
7.44733e+13	697
7.5473e+13	742
7.64726e+13	744
7.74722e+13	715
7.84719e+13	705
7.94715e+13	734
8.04712e+13	733
8.14708e+13	740
8.24705e+13	727
8.34701e+13	663
8.44697e+13	674
8.54694e+13	715
8.6469e+13	750
8.74687e+13	730
8.84683e+13	734
8.94679e+13	782
9.04676e+13	708
9.14672e+13	742
9.24669e+13	724
9.34665e+13	706
9.44662e+13	670
9.54658e+13	758
9.64654e+13	746
9.74651e+13	722
9.84647e+13	729
9.94644e+13	721
1.00464e+14	723
1.01464e+14	648
1.02463e+14	732
1.03463e+14	765
1.04463e+14	721
1.05462e+14	688
1.06462e+14	711
1.07461e+14	755
1.08461e+14	741
1.09461e+14	745
1.1046e+14	743
1.1146e+14	721
1.1246e+14	702
1.13459e+14	723
1.14459e+14	735
1.15459e+14	737
1.16458e+14	672
1.17458e+14	698
1.18458e+14	696
1.19457e+14	769
1.20457e+14	740
1.21456e+14	739
1.22456e+14	702
1.23456e+14	735
1.24455e+14	677
1.25455e+14	692
1.26455e+14	716
1.27454e+14	738
1.28454e+14	732
1.29454e+14	658
1.30453e+14	714
1.31453e+14	722
1.32453e+14	768
1.33452e+14	752
1.34452e+14	733
1.35451e+14	706
1.36451e+14	720
1.37451e+14	754
1.3845e+14	723
1.3945e+14	745
1.4045e+14	725
1.41449e+14	690
1.42449e+14	671
1.43449e+14	716
1.44448e+14	730
1.45448e+14	697
1.46448e+14	738
1.47447e+14	755
1.48447e+14	694
1.49446e+14	720
1.50446e+14	739
1.51446e+14	700
1.52445e+14	691
1.53445e+14	722
1.54445e+14	718
1.55444e+14	684
1.56444e+14	722
1.57444e+14	727
1.58443e+14	710
1.59443e+14	696
1.60443e+14	692
1.61442e+14	707
1.62442e+14	722
1.63441e+14	720
1.64441e+14	729
1.65441e+14	682
1.6644e+14	674
1.6744e+14	694
1.6844e+14	680
1.69439e+14	697
1.70439e+14	652
1.71439e+14	742
1.72438e+14	687
1.73438e+14	704
1.74437e+14	735
1.75437e+14	705
1.76437e+14	722
1.77436e+14	728
1.78436e+14	707
1.79436e+14	722
1.80435e+14	720
1.81435e+14	702
1.82435e+14	683
1.83434e+14	735
1.84434e+14	703
1.85434e+14	728
1.86433e+14	685
1.87433e+14	688
1.88432e+14	712
1.89432e+14	716
1.90432e+14	677
1.91431e+14	700
1.92431e+14	697
1.93431e+14	707
1.9443e+14	708
1.9543e+14	690
1.9643e+14	700
1.97429e+14	643
1.98429e+14	722
1.99429e+14	669
2.00428e+14	690
2.01428e+14	698
2.02427e+14	705
2.03427e+14	738
2.04427e+14	684
2.05426e+14	735
2.06426e+14	716
